Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Mon Dec 9 2019,8:00p,Sacramento Kings,119,Houston Rockets,118,Box Score,,18055,
Mon Dec 9 2019,8:00p,Orlando Magic,101,Milwaukee Bucks,110,Box Score,,17385,
Mon Dec 9 2019,8:00p,Detroit Pistons,105,New Orleans Pelicans,103,Box Score,,13694,
Mon Dec 9 2019,9:00p,Minnesota Timberwolves,109,Phoenix Suns,125,Box Score,,13230,
Mon Dec 9 2019,9:00p,Oklahoma City Thunder,104,Utah Jazz,90,Box Score,,18306,
Mon Dec 9 2019,10:30p,Memphis Grizzlies,110,Golden State Warriors,102,Box Score,,18064,
Tue Dec 10 2019,7:00p,Washington Wizards,107,Charlotte Hornets,114,Box Score,,10626,
Tue Dec 10 2019,8:00p,Atlanta Hawks,121,Miami Heat,135,Box Score,OT,19600,
Tue Dec 10 2019,8:00p,Denver Nuggets,92,Philadelphia 76ers,97,Box Score,,20591,
Tue Dec 10 2019,10:00p,New York Knicks,87,Portland Trail Blazers,115,Box Score,,19393,
Wed Dec 11 2019,7:00p,Houston Rockets,116,Cleveland Cavaliers,110,Box Score,,17122,
Wed Dec 11 2019,7:00p,Boston Celtics,117,Indiana Pacers,122,Box Score,,15637,
Wed Dec 11 2019,7:00p,Los Angeles Lakers,96,Orlando Magic,87,Box Score,,18846,
Wed Dec 11 2019,7:00p,Los Angeles Clippers,112,Toronto Raptors,92,Box Score,,20144,
Wed Dec 11 2019,7:30p,Charlotte Hornets,113,Brooklyn Nets,108,Box Score,,15631,
Wed Dec 11 2019,8:00p,Atlanta Hawks,102,Chicago Bulls,136,Box Score,,15084,
Wed Dec 11 2019,8:00p,Utah Jazz,127,Minnesota Timberwolves,116,Box Score,,12369,
Wed Dec 11 2019,9:00p,Memphis Grizzlies,115,Phoenix Suns,108,Box Score,,12254,
Wed Dec 11 2019,9:30p,New Orleans Pelicans,112,Milwaukee Bucks,127,Box Score,,17385,
Wed Dec 11 2019,10:00p,Oklahoma City Thunder,93,Sacramento Kings,94,Box Score,,16723,
Wed Dec 11 2019,10:30p,New York Knicks,124,Golden State Warriors,122,Box Score,OT,18064,
Thu Dec 12 2019,8:00p,Philadelphia 76ers,115,Boston Celtics,109,Box Score,,19156,
Thu Dec 12 2019,8:30p,Cleveland Cavaliers,117,San Antonio Spurs,109,Box Score,OT,18354,
Thu Dec 12 2019,9:00p,Dallas Mavericks,122,Detroit Pistons,111,Box Score,,20064,at Mexico City Mexico
Thu Dec 12 2019,10:30p,Portland Trail Blazers,99,Denver Nuggets,114,Box Score,,18828,
Fri Dec 13 2019,7:00p,Los Angeles Lakers,113,Miami Heat,110,Box Score,,20013,
Fri Dec 13 2019,7:00p,Houston Rockets,130,Orlando Magic,107,Box Score,,16335,
Fri Dec 13 2019,7:00p,New Orleans Pelicans,109,Philadelphia 76ers,116,Box Score,,20620,
Fri Dec 13 2019,7:30p,Indiana Pacers,110,Atlanta Hawks,100,Box Score,,15121,
Fri Dec 13 2019,8:00p,Charlotte Hornets,83,Chicago Bulls,73,Box Score,,18377,
Fri Dec 13 2019,8:00p,Milwaukee Bucks,127,Memphis Grizzlies,114,Box Score,,16109,
Fri Dec 13 2019,9:00p,Golden State Warriors,106,Utah Jazz,114,Box Score,,18306,
Fri Dec 13 2019,9:30p,Los Angeles Clippers,124,Minnesota Timberwolves,117,Box Score,,17585,
Fri Dec 13 2019,10:00p,New York Knicks,103,Sacramento Kings,101,Box Score,,17583,
Sat Dec 14 2019,5:00p,San Antonio Spurs,121,Phoenix Suns,119,Box Score,OT,20013,at Mexico City Mexico
Sat Dec 14 2019,7:30p,Brooklyn Nets,102,Toronto Raptors,110,Box Score,,19800,
Sat Dec 14 2019,8:00p,Los Angeles Clippers,106,Chicago Bulls,109,Box Score,,18426,
Sat Dec 14 2019,8:00p,Washington Wizards,111,Memphis Grizzlies,128,Box Score,,15631,
Sat Dec 14 2019,8:30p,Miami Heat,122,Dallas Mavericks,118,Box Score,OT,20333,
Sat Dec 14 2019,8:30p,Cleveland Cavaliers,108,Milwaukee Bucks,125,Box Score,,17481,
Sat Dec 14 2019,9:00p,Oklahoma City Thunder,102,Denver Nuggets,110,Box Score,,19520,
Sat Dec 14 2019,9:00p,Detroit Pistons,115,Houston Rockets,107,Box Score,,18055,
Sun Dec 15 2019,3:30p,Orlando Magic,130,New Orleans Pelicans,119,Box Score,,15388,
Sun Dec 15 2019,5:00p,Charlotte Hornets,85,Indiana Pacers,107,Box Score,,16061,
Sun Dec 15 2019,6:00p,Los Angeles Lakers,101,Atlanta Hawks,96,Box Score,,16962,
