"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2010-04-14 - Avalanche 2, Sharks 1","San Jose Sharks","Limited ReportFull ReportSeries Report","60","57","45","55.88","40","35","53.33","26","30","46.43","1","2","33.33","2.26","2.01","52.95","21","25","45.65","9","10","47.37","0","0","-","0.00","100.00","3.85","93.33","0.972"
"2010-04-14 - Flyers 2, Devils 1","New Jersey Devils","Limited ReportFull ReportSeries Report","60","54","24","69.23","40","20","66.67","24","14","63.16","1","2","33.33","2.32","1.03","69.36","28","13","68.29","10","4","71.43","0","1","0.00","0.00","75.00","4.17","85.71","0.899"
"2010-04-14 - Red Wings 2, Coyotes 3","Phoenix Coyotes","Limited ReportFull ReportSeries Report","60","55","72","43.31","47","57","45.19","35","40","46.67","3","2","60.00","2.88","2.56","52.89","27","26","50.94","14","8","63.64","0","0","-","0.00","100.00","8.57","95.00","1.036"
"2010-04-14 - Senators 5, Penguins 4","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","53","44","54.64","35","33","51.47","21","26","44.68","4","5","44.44","1.55","1.75","46.99","24","21","53.33","5","7","41.67","0","3","0.00","0.00","40.00","19.05","80.77","0.998"
"2010-04-15 - Bruins 1, Sabres 2","Buffalo Sabres","Limited ReportFull ReportSeries Report","60","57","64","47.11","41","50","45.05","32","39","45.07","2","1","66.67","2.53","2.56","49.76","27","29","48.21","13","14","48.15","1","1","50.00","10.00","90.91","6.25","97.44","1.037"
"2010-04-15 - Canadiens 3, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","73.316666666667","94","88","51.65","67","58","53.60","47","38","55.29","2","3","40.00","4.73","3.29","58.96","60","46","56.60","25","18","58.14","1","1","50.00","5.26","91.67","4.26","92.11","0.964"
"2010-04-15 - Kings 2, Canucks 3","Vancouver Canucks","Limited ReportFull ReportSeries Report","68.866666666667","78","52","60.00","60","39","60.61","44","27","61.97","3","2","60.00","3.31","2.24","59.61","41","30","57.75","15","15","50.00","2","0","100.00","16.67","100.00","6.82","92.59","0.994"
"2010-04-16 - Avalanche 5, Sharks 6","San Jose Sharks","Limited ReportFull ReportSeries Report","65.366666666667","100","43","69.93","68","29","70.10","52","22","70.27","6","5","54.55","6.06","2.58","70.18","58","25","69.88","24","12","66.67","5","3","62.50","23.81","66.67","11.54","77.27","0.888"
"2010-04-16 - Flyers 3, Devils 5","New Jersey Devils","Limited ReportFull ReportSeries Report","60","55","56","49.55","45","43","51.14","33","29","53.23","5","3","62.50","3.1","2.73","53.14","29","27","51.79","12","11","52.17","3","2","60.00","33.33","80.00","15.15","89.66","1.048"
"2010-04-16 - Predators 4, Blackhawks 1","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","63","57","52.50","44","43","50.57","26","26","50.00","1","4","20.00","3.36","3.88","46.41","45","29","60.81","15","6","71.43","0","2","0.00","0.00","60.00","3.85","84.62","0.885"
"2010-04-16 - Red Wings 7, Coyotes 4","Phoenix Coyotes","Limited ReportFull ReportSeries Report","60","53","69","43.44","39","55","41.49","31","39","44.29","4","7","36.36","2.49","3.25","43.38","26","35","42.62","11","16","40.74","4","5","44.44","44.44","50.00","12.90","82.05","0.950"
"2010-04-16 - Senators 1, Penguins 2","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","66","39","62.86","53","24","68.83","31","20","60.78","2","1","66.67","2.96","0.75","79.77","29","11","72.50","8","1","88.89","1","0","100.00","14.29","100.00","6.45","95.00","1.015"
"2010-04-17 - Bruins 5, Sabres 3","Buffalo Sabres","Limited ReportFull ReportSeries Report","60","52","68","43.33","44","48","47.83","29","31","48.33","3","5","37.50","2.7","3.09","46.68","26","29","47.27","17","13","56.67","1","2","33.33","10.00","75.00","10.34","83.87","0.942"
"2010-04-17 - Canadiens 5, Capitals 6","Washington Capitals","Limited ReportFull ReportSeries Report","60.516666666667","85","42","66.93","55","31","63.95","37","24","60.66","6","5","54.55","3.52","2.04","63.27","33","19","63.46","15","12","55.56","3","4","42.86","27.27","63.64","16.22","79.17","0.954"
"2010-04-17 - Kings 3, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","67.466666666667","50","56","47.17","43","43","50.00","26","32","44.83","2","3","40.00","2.31","3.24","41.60","23","26","46.94","14","13","51.85","1","3","25.00","10.00","70.00","7.69","90.63","0.983"
"2010-04-18 - Coyotes 4, Red Wings 2","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","51","51","50.00","40","43","48.19","31","33","48.44","2","4","33.33","1.8","2.8","39.14","18","23","43.90","7","8","46.67","0","3","0.00","0.00","40.00","6.45","87.88","0.943"
"2010-04-18 - Devils 2, Flyers 3","Philadelphia Flyers","Limited ReportFull ReportSeries Report","63.583333333333","65","60","52.00","44","39","53.01","34","19","64.15","3","2","60.00","3.65","2.17","62.69","31","26","54.39","18","12","60.00","3","1","75.00","21.43","85.71","8.82","89.47","0.983"
"2010-04-18 - Penguins 4, Senators 2","Ottawa Senators","Limited ReportFull ReportSeries Report","60","52","49","51.49","34","32","51.52","22","24","47.83","2","4","33.33","1.68","2.3","42.20","21","28","42.86","8","7","53.33","1","2","33.33","33.33","60.00","9.09","83.33","0.924"
"2010-04-18 - Predators 0, Blackhawks 2","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","54","46","54.00","44","33","57.14","33","23","58.93","2","0","100.00","2.34","1.91","55.00","22","21","51.16","6","7","46.15","2","0","100.00","33.33","100.00","6.06","100.00","1.061"
"2010-04-18 - Sharks 0, Avalanche 1","Colorado Avalanche","Limited ReportFull ReportSeries Report","60.85","33","93","26.19","24","71","25.26","17","51","25.00","1","0","100.00","0","0","-","0","13","0.00","0","0","-","0","0","-","-","-","5.88","100.00","1.059"
"2010-04-19 - Canucks 3, Kings 5","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","46","76","37.70","33","48","40.74","23","28","45.10","5","3","62.50","2.12","2.07","50.54","20","32","38.46","10","11","47.62","2","1","66.67","28.57","85.71","21.74","89.29","1.110"
"2010-04-19 - Capitals 5, Canadiens 1","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","50","68","42.37","34","48","41.46","27","36","42.86","1","5","16.67","1.8","3.06","37.07","15","33","31.25","8","13","38.10","1","3","25.00","16.67","72.73","3.70","86.11","0.898"
"2010-04-19 - Sabres 1, Bruins 2","Boston Bruins","Limited ReportFull ReportSeries Report","60","60","53","53.10","46","39","54.12","29","33","46.77","2","1","66.67","2.17","1.49","59.25","23","17","57.50","6","4","60.00","1","0","100.00","20.00","100.00","6.90","96.97","1.039"
"2010-04-20 - Blackhawks 1, Predators 4","Nashville Predators","Limited ReportFull ReportSeries Report","60","66","52","55.93","49","38","56.32","35","27","56.45","4","1","80.00","3.45","1.75","66.40","25","22","53.19","10","7","58.82","3","1","75.00","37.50","80.00","11.43","96.30","1.077"
"2010-04-20 - Coyotes 0, Red Wings 3","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","57","49","53.77","43","41","51.19","35","29","54.69","3","0","100.00","1.99","2.03","49.51","19","18","51.35","11","5","68.75","1","0","100.00","12.50","100.00","8.57","100.00","1.086"
"2010-04-20 - Devils 1, Flyers 4","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","51","74","40.80","38","49","43.68","28","31","47.46","4","1","80.00","2.45","3.37","42.07","23","31","42.59","6","12","33.33","0","0","-","0.00","100.00","14.29","96.77","1.111"
"2010-04-20 - Penguins 7, Senators 4","Ottawa Senators","Limited ReportFull ReportSeries Report","60","57","64","47.11","45","50","47.37","30","42","41.67","4","7","36.36","2.81","3.14","47.26","27","31","46.55","12","12","50.00","2","4","33.33","33.33","60.00","13.33","83.33","0.967"
"2010-04-20 - Sharks 2, Avalanche 1","Colorado Avalanche","Limited ReportFull ReportSeries Report","70.4","59","81","42.14","46","57","44.66","34","45","43.04","1","2","33.33","2.33","2.95","44.13","25","47","34.72","12","13","48.00","0","1","0.00","0.00","90.91","2.94","95.56","0.985"
"2010-04-21 - Canucks 6, Kings 4","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","47","71","39.83","37","57","39.36","26","37","41.27","4","6","40.00","2.05","2.92","41.26","27","23","54.00","9","7","56.25","3","1","75.00","37.50","83.33","15.38","83.78","0.992"
"2010-04-21 - Capitals 6, Canadiens 3","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","58","73","44.27","44","51","46.32","39","38","50.65","3","6","33.33","2.28","3.38","40.32","23","26","46.94","9","12","42.86","2","1","66.67","25.00","85.71","7.69","84.21","0.919"
"2010-04-21 - Sabres 2, Bruins 3","Boston Bruins","Limited ReportFull ReportSeries Report","87.683333333333","79","66","54.48","55","46","54.46","39","37","51.32","3","2","60.00","3.64","2.24","61.94","47","27","63.51","16","10","61.54","2","1","66.67","14.29","87.50","7.69","94.59","1.023"
"2010-04-22 - Avalanche 0, Sharks 5","San Jose Sharks","Limited ReportFull ReportSeries Report","60","68","54","55.74","50","46","52.08","37","28","56.92","5","0","100.00","4.04","2.76","59.45","36","32","52.94","15","11","57.69","4","0","100.00","30.77","100.00","13.51","100.00","1.135"
"2010-04-22 - Blackhawks 3, Predators 0","Nashville Predators","Limited ReportFull ReportSeries Report","60","66","51","56.41","48","37","56.47","33","30","52.38","0","3","0.00","2.6","3.68","41.43","22","22","50.00","7","11","38.89","0","2","0.00","0.00","81.82","0.00","90.00","0.900"
"2010-04-22 - Flyers 3, Devils 0","New Jersey Devils","Limited ReportFull ReportSeries Report","60","55","33","62.50","40","28","58.82","28","21","57.14","0","3","0.00","2.37","1.9","55.57","23","17","57.50","9","12","42.86","0","3","0.00","0.00","62.50","0.00","85.71","0.857"
"2010-04-22 - Senators 4, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","107.1","125","88","58.69","79","71","52.67","59","44","57.28","3","4","42.86","4.11","3.76","52.24","52","32","61.90","15","14","51.72","2","2","50.00","15.38","80.00","5.08","90.91","0.960"
"2010-04-23 - Bruins 1, Sabres 4","Buffalo Sabres","Limited ReportFull ReportSeries Report","60","52","81","39.10","43","55","43.88","33","35","48.53","4","1","80.00","3.86","2.52","60.52","24","20","54.55","13","11","54.17","3","0","100.00","30.00","100.00","12.12","97.14","1.093"
"2010-04-23 - Canadiens 2, Capitals 1","Washington Capitals","Limited ReportFull ReportSeries Report","60","68","58","53.97","49","43","53.26","38","28","57.58","1","2","33.33","2.97","2.13","58.24","34","33","50.75","11","7","61.11","1","0","100.00","14.29","100.00","2.63","92.86","0.955"
"2010-04-23 - Kings 2, Canucks 7","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","49","49","50.00","38","36","51.35","30","26","53.57","7","2","77.78","2.45","1.75","58.42","24","22","52.17","13","6","68.42","3","1","75.00","27.27","75.00","23.33","92.31","1.156"
"2010-04-23 - Red Wings 4, Coyotes 1","Phoenix Coyotes","Limited ReportFull ReportSeries Report","60","56","46","54.90","40","36","52.63","31","29","51.67","1","4","20.00","2.19","2.84","43.48","20","22","47.62","7","11","38.89","1","4","20.00","16.67","50.00","3.23","86.21","0.894"
"2010-04-24 - Penguins 4, Senators 3","Ottawa Senators","Limited ReportFull ReportSeries Report","69.933333333333","49","76","39.20","39","55","41.49","31","43","41.89","3","4","42.86","2.38","2.78","46.15","20","27","42.55","13","12","52.00","3","2","60.00","27.27","77.78","9.68","90.70","1.004"
"2010-04-24 - Predators 4, Blackhawks 5","Chicago Blackhawks","Limited ReportFull ReportSeries Report","64.116666666667","59","41","59.00","46","27","63.01","32","21","60.38","5","4","55.56","3.57","1.69","67.94","43","32","57.33","15","10","60.00","3","2","60.00","23.08","77.78","15.63","80.95","0.966"
"2010-04-24 - Sharks 5, Avalanche 2","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","41","61","40.20","26","46","36.11","18","34","34.62","2","5","28.57","1.23","3.31","27.12","17","28","37.78","7","9","43.75","2","1","66.67","40.00","83.33","11.11","85.29","0.964"
"2010-04-25 - Canucks 4, Kings 2","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","65","44","59.63","53","36","59.55","32","22","59.26","2","4","33.33","2.25","1.81","55.36","27","18","60.00","11","5","68.75","1","1","50.00","14.29","66.67","6.25","81.82","0.881"
"2010-04-25 - Coyotes 5, Red Wings 2","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","69","49","58.47","53","35","60.23","33","29","53.23","2","5","28.57","3.08","2.19","58.43","32","21","60.38","12","10","54.55","1","2","33.33","11.11","75.00","6.06","82.76","0.888"
"2010-04-26 - Blackhawks 5, Predators 3","Nashville Predators","Limited ReportFull ReportSeries Report","60","57","52","52.29","39","45","46.43","28","32","46.67","3","5","37.50","2.47","3.68","40.20","26","22","54.17","10","10","50.00","1","3","25.00","14.29","62.50","10.71","84.38","0.951"
"2010-04-26 - Capitals 1, Canadiens 4","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","47","94","33.33","35","71","33.02","22","54","28.95","4","1","80.00","2.51","4.22","37.32","19","43","30.65","7","14","33.33","1","1","50.00","20.00","91.67","18.18","98.15","1.163"
"2010-04-26 - Sabres 3, Bruins 4","Boston Bruins","Limited ReportFull ReportSeries Report","60","61","47","56.48","47","37","55.95","32","30","51.61","4","3","57.14","2.95","2.23","57.00","30","26","53.57","10","10","50.00","3","1","75.00","33.33","88.89","12.50","90.00","1.025"
"2010-04-27 - Red Wings 6, Coyotes 1","Phoenix Coyotes","Limited ReportFull ReportSeries Report","60","53","70","43.09","42","63","40.00","33","50","39.76","1","6","14.29","2.89","4.59","38.64","21","39","35.00","10","21","32.26","0","4","0.00","0.00","76.47","3.03","88.00","0.910"
"2010-04-28 - Canadiens 2, Capitals 1","Washington Capitals","Limited ReportFull ReportSeries Report","60","94","38","71.21","53","27","66.25","42","16","72.41","1","2","33.33","3.9","1.67","70.03","48","25","65.75","19","8","70.37","1","0","100.00","6.25","100.00","2.38","87.50","0.899"
"2010-04-29 - Red Wings 3, Sharks 4","San Jose Sharks","Limited ReportFull ReportSeries Report","60","59","66","47.20","42","45","48.28","27","23","54.00","4","3","57.14","2.96","2.88","50.72","34","30","53.13","10","9","52.63","2","1","66.67","28.57","85.71","14.81","86.96","1.018"
"2010-04-30 - Canadiens 3, Penguins 6","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","51","61","45.54","36","39","48.00","24","31","43.64","6","3","66.67","2.84","2.11","57.36","21","23","47.73","7","2","77.78","2","1","66.67","33.33","0.00","25.00","90.32","1.153"
"2010-05-01 - Canucks 5, Blackhawks 1","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","64","48","57.14","51","35","59.30","37","28","56.92","1","5","16.67","3.79","3.37","52.89","29","22","56.86","12","12","50.00","1","4","20.00","10.00","63.64","2.70","82.14","0.848"
"2010-05-01 - Flyers 4, Bruins 5","Boston Bruins","Limited ReportFull ReportSeries Report","73.866666666667","79","56","58.52","60","40","60.00","46","36","56.10","5","4","55.56","3.18","2.81","53.09","36","27","57.14","14","13","51.85","4","2","66.67","36.36","83.33","10.87","88.89","0.998"
"2010-05-02 - Canadiens 3, Penguins 1","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","67","34","66.34","52","27","65.82","39","21","65.00","1","3","25.00","3.03","1.32","69.60","29","7","80.56","13","5","72.22","1","3","25.00","9.09","25.00","2.56","85.71","0.883"
"2010-05-02 - Red Wings 3, Sharks 4","San Jose Sharks","Limited ReportFull ReportSeries Report","60","71","58","55.04","57","43","57.00","45","31","59.21","4","3","57.14","4.38","2.78","61.18","40","35","53.33","15","14","51.72","3","1","75.00","23.08","90.00","8.89","90.32","0.992"
"2010-05-03 - Canucks 2, Blackhawks 4","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","63","62","50.40","47","44","51.65","34","26","56.67","4","2","66.67","3","3.03","49.81","40","32","55.56","12","10","54.55","2","2","50.00","28.57","75.00","11.76","92.31","1.041"
"2010-05-03 - Flyers 2, Bruins 3","Boston Bruins","Limited ReportFull ReportSeries Report","60","48","42","53.33","35","30","53.85","27","26","50.94","3","2","60.00","2.77","1.82","60.32","22","18","55.00","5","9","35.71","0","0","-","0.00","100.00","11.11","92.31","1.034"
"2010-05-04 - Penguins 2, Canadiens 0","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","49","52","48.51","31","36","46.27","18","25","41.86","0","2","0.00","1.68","2.49","40.34","23","24","48.94","9","9","50.00","0","0","-","0.00","100.00","0.00","92.00","0.920"
"2010-05-04 - Sharks 4, Red Wings 3","Detroit Red Wings","Limited ReportFull ReportSeries Report","67.116666666667","72","60","54.55","53","47","53.00","35","33","51.47","3","4","42.86","2.88","2.54","53.14","26","25","50.98","6","8","42.86","2","1","66.67","66.67","66.67","8.57","87.88","0.965"
"2010-05-05 - Blackhawks 5, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","63","52","54.78","47","45","51.09","33","35","48.53","2","5","28.57","2.31","3.65","38.70","26","28","48.15","14","16","46.67","2","5","28.57","16.67","64.29","6.06","85.71","0.918"
