"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2013-05-10 - Maple Leafs 2, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","60","86","55","60.99","59","42","58.42","44","33","57.14","1","2","33.33","3.91","2.18","64.18","41","28","59.42","16","11","59.26","0","2","0.00","0.00","77.78","2.27","93.94","0.962"
"2013-05-10 - Rangers 1, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","69.4","81","67","54.73","52","37","58.43","35","25","58.33","2","1","66.67","3.59","2.27","61.30","46","26","63.89","21","9","70.00","1","1","50.00","7.14","87.50","5.71","96.00","1.017"
"2013-05-11 - Penguins 4, Islanders 3","New York Islanders","Limited ReportFull ReportSeries Report","67.816666666667","73","56","56.59","55","33","62.50","38","21","64.41","3","4","42.86","3.93","2.33","62.80","43","30","58.90","21","14","60.00","2","2","50.00","12.50","81.82","7.89","80.95","0.888"
"2013-05-12 - Bruins 1, Maple Leafs 2","Toronto Maple Leafs","Limited ReportFull ReportSeries Report","60","55","73","42.97","38","53","41.76","26","30","46.43","2","1","66.67","2","2.41","45.33","21","30","41.18","8","12","40.00","1","1","50.00","16.67","85.71","7.69","96.67","1.044"
"2013-05-12 - Capitals 0, Rangers 1","New York Rangers","Limited ReportFull ReportSeries Report","60","66","59","52.80","47","42","52.81","29","27","51.79","1","0","100.00","3.02","2.78","52.11","33","31","51.56","17","13","56.67","0","0","-","0.00","100.00","3.45","100.00","1.034"
"2013-05-12 - Red Wings 3, Ducks 2","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","59","58","50.43","46","47","49.46","33","32","50.77","2","3","40.00","2.76","2.8","49.63","26","31","45.61","8","14","36.36","0","3","0.00","0.00","62.50","6.06","90.63","0.967"
"2013-05-13 - Maple Leafs 4, Bruins 5","Boston Bruins","Limited ReportFull ReportSeries Report","66.083333333333","68","45","60.18","53","38","58.24","35","28","55.56","5","4","55.56","3.26","3.02","51.91","26","23","53.06","12","11","52.17","2","3","40.00","18.18","72.73","14.29","85.71","1.000"
"2013-05-13 - Rangers 5, Capitals 0","Washington Capitals","Limited ReportFull ReportSeries Report","60","79","47","62.70","52","38","57.78","35","27","56.45","0","5","0.00","2.3","2.32","49.75","29","25","53.70","10","9","52.63","0","3","0.00","0.00","66.67","0.00","81.48","0.815"
"2013-05-14 - Senators 1, Penguins 4","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","48","68","41.38","42","50","45.65","30","36","45.45","4","1","80.00","2.3","2.74","45.69","19","28","40.43","7","8","46.67","2","1","66.67","28.57","80.00","13.33","97.22","1.106"
"2013-05-14 - Sharks 0, Kings 2","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","47","69","40.52","37","55","40.22","20","35","36.36","2","0","100.00","1.36","3.14","30.30","16","33","32.65","7","11","38.89","1","0","100.00","14.29","100.00","10.00","100.00","1.100"
"2013-05-15 - Red Wings 1, Blackhawks 4","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","68","46","59.65","53","33","61.63","42","21","66.67","4","1","80.00","3.6","1.8","66.69","38","19","66.67","10","6","62.50","1","1","50.00","12.50","80.00","9.52","95.24","1.048"
"2013-05-16 - Rangers 2, Bruins 3","Boston Bruins","Limited ReportFull ReportSeries Report","75.666666666667","93","66","58.49","64","45","58.72","48","35","57.83","3","2","60.00","2.42","2.22","52.21","29","27","51.79","10","10","50.00","1","0","100.00","20.00","100.00","6.25","94.29","1.005"
"2013-05-16 - Sharks 3, Kings 4","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","61","51","54.46","46","41","52.87","31","31","50.00","4","3","57.14","3.4","2.74","55.34","25","24","51.02","10","12","45.45","2","2","50.00","28.57","81.82","12.90","90.32","1.032"
"2013-05-17 - Senators 3, Penguins 4","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","62","48","56.36","54","28","65.85","42","22","65.63","4","3","57.14","2.91","1.46","66.51","29","19","60.42","9","6","60.00","2","1","66.67","25.00","83.33","9.52","86.36","0.959"
"2013-05-18 - Kings 1, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","61.483333333333","81","64","55.86","55","41","57.29","40","27","59.70","2","1","66.67","2.87","1.46","66.31","28","15","65.12","14","5","73.68","1","0","100.00","11.11","100.00","5.00","96.30","1.013"
