"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2012-04-11 - Flyers 4, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","62.383333333333","59","53","52.68","43","34","55.84","28","26","51.85","3","4","42.86","2.67","1.84","59.18","35","27","56.45","9","13","40.91","3","3","50.00","50.00","70.00","10.71","84.62","0.953"
"2012-04-11 - Kings 4, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","53","63","45.69","34","45","43.04","26","39","40.00","2","4","33.33","1.59","3.55","30.97","29","29","50.00","7","13","35.00","0","1","0.00","0.00","88.89","7.69","89.74","0.974"
"2012-04-11 - Red Wings 2, Predators 3","Nashville Predators","Limited ReportFull ReportSeries Report","60","45","61","42.45","35","45","43.75","26","37","41.27","3","2","60.00","2.23","3.14","41.53","20","18","52.63","8","11","42.11","1","2","33.33","14.29","80.00","11.54","94.59","1.061"
"2012-04-12 - Blackhawks 2, Coyotes 3","Phoenix Coyotes","Limited ReportFull ReportSeries Report","69.483333333333","69","86","44.52","57","59","49.14","34","45","43.04","3","2","60.00","2.5","3.29","43.16","28","33","45.90","9","17","34.62","1","1","50.00","25.00","93.75","8.82","95.56","1.044"
"2012-04-12 - Capitals 0, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","61.3","62","41","60.19","40","26","60.61","30","17","63.83","1","0","100.00","2.04","0.85","70.63","22","14","61.11","6","1","85.71","0","0","-","0.00","-","3.33","100.00","1.033"
"2012-04-12 - Senators 2, Rangers 4","New York Rangers","Limited ReportFull ReportSeries Report","60","59","64","47.97","47","44","51.65","31","32","49.21","4","2","66.67","4.15","2.94","58.51","41","35","53.95","17","10","62.96","2","1","66.67","15.38","87.50","12.90","93.75","1.067"
"2012-04-12 - Sharks 3, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","83.566666666667","78","67","53.79","59","46","56.19","42","34","55.26","2","3","40.00","2.62","2.98","46.83","27","40","40.30","6","12","33.33","1","2","33.33","33.33","80.00","4.76","91.18","0.959"
"2012-04-13 - Devils 3, Panthers 2","Florida Panthers","Limited ReportFull ReportSeries Report","60","40","51","43.96","34","45","43.04","26","38","40.63","2","3","40.00","1.58","3.93","28.67","20","26","43.48","6","14","30.00","2","0","100.00","50.00","100.00","7.69","92.11","0.998"
"2012-04-13 - Flyers 8, Penguins 5","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","58","44","56.86","46","39","54.12","28","31","47.46","5","8","38.46","2.74","3.4","44.65","25","27","48.08","11","13","45.83","3","6","33.33","33.33","50.00","17.86","74.19","0.921"
"2012-04-13 - Kings 4, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","77","45","63.11","57","35","61.96","48","26","64.86","2","4","33.33","3.44","2.42","58.63","33","21","61.11","20","13","60.61","2","4","33.33","11.11","55.56","4.17","84.62","0.888"
"2012-04-13 - Red Wings 3, Predators 2","Nashville Predators","Limited ReportFull ReportSeries Report","60","56","36","60.87","40","26","60.61","26","17","60.47","2","3","40.00","2.44","1.42","63.27","24","19","55.81","12","6","66.67","1","1","50.00","11.11","75.00","7.69","82.35","0.900"
"2012-04-14 - Blackhawks 4, Coyotes 3","Phoenix Coyotes","Limited ReportFull ReportSeries Report","70.6","64","76","45.71","54","59","47.79","33","50","39.76","3","4","42.86","3.05","3.37","47.53","32","36","47.06","13","13","50.00","1","2","33.33","14.29","83.33","9.09","92.00","1.011"
"2012-04-14 - Capitals 2, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","82.933333333333","86","55","60.99","59","47","55.66","44","39","53.01","1","2","33.33","2","1.83","52.14","27","18","60.00","8","8","50.00","1","1","50.00","14.29","83.33","2.27","94.87","0.971"
"2012-04-14 - Senators 3, Rangers 2","New York Rangers","Limited ReportFull ReportSeries Report","61.283333333333","49","74","39.84","39","49","44.32","29","32","47.54","2","3","40.00","3.28","3.53","48.16","33","41","44.59","16","13","55.17","1","2","33.33","9.09","75.00","6.90","90.63","0.975"
"2012-04-14 - Sharks 0, Blues 3","St Louis Blues","Limited ReportFull ReportSeries Report","60","59","59","50.00","42","42","50.00","33","29","53.23","3","0","100.00","3.26","2","62.01","30","28","51.72","13","9","59.09","2","0","100.00","25.00","100.00","9.09","100.00","1.091"
"2012-04-15 - Canucks 0, Kings 1","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","48","82","36.92","34","59","36.56","20","41","32.79","1","0","100.00","2.24","1.97","53.19","25","24","51.02","6","8","42.86","1","0","100.00","25.00","100.00","5.00","100.00","1.050"
"2012-04-15 - Devils 2, Panthers 4","Florida Panthers","Limited ReportFull ReportSeries Report","60","47","56","45.63","35","38","47.95","24","25","48.98","4","2","66.67","3.04","2.33","56.61","18","26","40.91","8","8","50.00","1","1","50.00","16.67","75.00","16.67","92.00","1.087"
