"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2017-04-12 - Blue Jackets 1, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","47","60","43.93","35","38","47.95","29","32","47.54","3","1","75.00","2.37","1.65","59.01","27","20","57.45","8","4","66.67","1","1","50.00","16.67","66.67","10.34","96.88","1.072"
"2017-04-12 - Blues 2, Wild 1","Minnesota Wild","Limited ReportFull ReportSeries Report","77.8","90","57","61.22","69","40","63.30","52","26","66.67","1","2","33.33","2.89","1.71","62.74","34","16","68.00","13","8","61.90","1","1","50.00","9.09","83.33","1.92","92.31","0.942"
"2017-04-12 - Bruins 2, Senators 1","Ottawa Senators","Limited ReportFull ReportSeries Report","60","62","57","52.10","43","36","54.43","27","25","51.92","1","2","33.33","1.89","1.98","48.86","26","29","47.27","11","12","47.83","0","1","0.00","0.00","80.00","3.70","92.00","0.957"
"2017-04-12 - Rangers 2, Canadiens 0","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","68","60","53.13","44","42","51.16","31","31","50.00","0","2","0.00","2.51","2.36","51.47","27","25","51.92","9","8","52.94","0","0","-","0.00","100.00","0.00","93.55","0.935"
"2017-04-12 - Sharks 3, Oilers 2","Edmonton Oilers","Limited ReportFull ReportSeries Report","63.366666666667","43","87","33.08","30","64","31.91","19","44","30.16","2","3","40.00","1.81","5.36","25.29","22","49","30.99","8","22","26.67","1","3","25.00","25.00","83.33","10.53","93.18","1.037"
"2017-04-13 - Flames 2, Ducks 3","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","70","70","50.00","53","50","51.46","41","32","56.16","3","2","60.00","3.29","4.02","45.00","29","36","44.62","17","22","43.59","1","2","33.33","7.14","84.62","7.32","93.75","1.011"
"2017-04-13 - Maple Leafs 2, Capitals 3","Washington Capitals","Limited ReportFull ReportSeries Report","65.25","74","62","54.41","57","51","52.78","44","37","54.32","3","2","60.00","2.98","2.52","54.16","30","27","52.63","14","14","50.00","2","1","66.67","22.22","90.91","6.82","94.59","1.014"
"2017-04-13 - Predators 1, Blackhawks 0","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","66","36","64.71","40","24","62.50","29","20","59.18","0","1","0.00","2.21","1.7","56.64","22","13","62.86","9","7","56.25","0","1","0.00","0.00","80.00","0.00","95.00","0.950"
"2017-04-14 - Blue Jackets 1, Penguins 4","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","55","79","41.04","42","56","42.86","32","40","44.44","4","1","80.00","3.57","3.13","53.28","30","37","44.78","16","13","55.17","2","0","100.00","20.00","100.00","12.50","97.50","1.100"
"2017-04-14 - Blues 2, Wild 1","Minnesota Wild","Limited ReportFull ReportSeries Report","60","59","39","60.20","40","31","56.34","24","22","52.17","1","2","33.33","1.68","1.08","60.79","18","10","64.29","6","3","66.67","1","0","100.00","25.00","100.00","4.17","90.91","0.951"
"2017-04-14 - Rangers 3, Canadiens 4","Montreal Canadiens","Limited ReportFull ReportSeries Report","78.566666666667","103","69","59.88","75","52","59.06","58","38","60.42","4","3","57.14","4.73","2.08","69.48","43","23","65.15","17","7","70.83","3","2","60.00","18.75","33.33","6.90","92.11","0.990"
"2017-04-14 - Sharks 0, Oilers 2","Edmonton Oilers","Limited ReportFull ReportSeries Report","60","77","36","68.14","52","20","72.22","36","16","69.23","2","0","100.00","4.14","0.9","82.09","41","9","82.00","17","5","77.27","1","0","100.00","11.11","100.00","5.56","100.00","1.056"
