"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2008-10-04 - Penguins 4, Senators 3","Ottawa Senators","Limited ReportFull Report","64.583333333333","58","64","47.54","47","43","52.22","35","30","53.85","3","4","42.86","2.39","2.06","53.75","23","28","45.10","9","5","64.29","1","1","50.00","14.29","75.00","8.57","86.67","0.952"
"2008-10-04 - Rangers 2, Lightning 1","Tampa Bay Lightning","Limited ReportFull Report","60","37","66","35.92","31","53","36.90","21","41","33.87","1","2","33.33","2.04","2.86","41.57","24","33","42.11","14","12","53.85","1","0","100.00","10.00","100.00","4.76","95.12","0.999"
"2008-10-05 - Lightning 1, Rangers 2","New York Rangers","Limited ReportFull Report","60","72","44","62.07","52","32","61.90","39","19","67.24","2","1","66.67","2.79","1.52","64.74","42","18","70.00","12","9","57.14","2","1","66.67","25.00","83.33","5.13","94.74","0.999"
"2008-10-05 - Senators 3, Penguins 1","Pittsburgh Penguins","Limited ReportFull Report","60","51","56","47.66","37","41","47.44","31","27","53.45","1","3","25.00","2.3","2.3","49.96","27","20","57.45","7","7","50.00","0","2","0.00","0.00","60.00","3.23","88.89","0.921"
"2008-10-09 - Bruins 5, Avalanche 4","Colorado Avalanche","Limited ReportFull Report","60","69","38","64.49","47","28","62.67","39","20","66.10","4","5","44.44","3.93","1.74","69.28","36","20","64.29","19","7","73.08","4","3","57.14","21.05","57.14","10.26","75.00","0.853"
"2008-10-09 - Ducks 1, Sharks 4","San Jose Sharks","Limited ReportFull Report","60","63","40","61.17","48","30","61.54","41","29","58.57","4","1","80.00","3.67","1.51","70.82","36","17","67.92","17","6","73.91","2","1","66.67","13.33","83.33","9.76","96.55","1.063"
"2008-10-09 - Flames 0, Canucks 6","Vancouver Canucks","Limited ReportFull Report","60","47","53","47.00","36","38","48.65","23","25","47.92","6","0","100.00","2.39","2.82","45.90","32","27","54.24","14","15","48.28","5","0","100.00","55.56","100.00","26.09","100.00","1.261"
"2008-10-09 - Maple Leafs 3, Red Wings 2","Detroit Red Wings","Limited ReportFull Report","60","60","42","58.82","49","33","59.76","37","29","56.06","2","3","40.00","2.29","2.16","51.47","26","29","47.27","7","10","41.18","2","3","40.00","28.57","66.67","5.41","89.66","0.951"
"2008-10-10 - Blackhawks 2, Rangers 4","New York Rangers","Limited ReportFull Report","60","51","53","49.04","39","45","46.43","29","32","47.54","4","2","66.67","2.94","3.69","44.35","33","42","44.00","11","20","35.48","3","1","75.00","42.86","92.31","13.79","93.75","1.075"
"2008-10-10 - Blue Jackets 5, Stars 4","Dallas Stars","Limited ReportFull Report","64.65","61","42","59.22","45","34","56.96","31","27","53.45","4","5","44.44","3.03","2.24","57.49","18","22","45.00","10","9","52.63","3","3","50.00","37.50","66.67","12.90","81.48","0.944"
"2008-10-10 - Canadiens 1, Sabres 2","Buffalo Sabres","Limited ReportFull Report","65","64","59","52.03","47","46","50.54","36","28","56.25","1","1","50.00","2.38","2.3","50.86","28","25","52.83","10","5","66.67","1","0","100.00","11.11","100.00","2.78","96.43","0.992"
"2008-10-10 - Capitals 4, Thrashers 7","Atlanta Thrashers","Limited ReportFull Report","60","41","59","41.00","32","49","39.51","31","43","41.89","7","4","63.64","2.81","4.11","40.61","24","26","48.00","12","14","46.15","5","2","71.43","41.67","85.71","22.58","90.70","1.133"
"2008-10-10 - Islanders 1, Devils 2","New Jersey Devils","Limited ReportFull Report","60","58","41","58.59","42","33","56.00","29","26","52.73","2","1","66.67","2.11","2.58","45.04","28","23","54.90","10","10","50.00","2","0","100.00","22.22","100.00","6.90","96.15","1.031"
"2008-10-10 - Panthers 4, Hurricanes 6","Carolina Hurricanes","Limited ReportFull Report","60","55","73","42.97","39","49","44.32","24","33","42.11","6","4","60.00","3.25","3.69","46.83","33","33","50.00","18","16","52.94","4","3","57.14","44.44","78.57","25.00","87.88","1.129"
"2008-10-10 - Predators 2, Blues 5","St Louis Blues","Limited ReportFull Report","60","43","49","46.74","36","39","48.00","22","22","50.00","5","2","71.43","2.43","1.98","55.16","27","23","54.00","12","7","63.16","4","2","66.67","57.14","33.33","22.73","90.91","1.136"
"2008-10-11 - Blackhawks 2, Capitals 4","Washington Capitals","Limited ReportFull Report","60","59","47","55.66","44","36","55.00","34","21","61.82","4","2","66.67","3.05","2.54","54.52","37","27","57.81","11","14","44.00","2","1","66.67","22.22","85.71","11.76","90.48","1.022"
"2008-10-11 - Blue Jackets 1, Coyotes 3","Phoenix Coyotes","Limited ReportFull Report","60","51","69","42.50","36","45","44.44","30","29","50.85","3","1","75.00","2.32","3.23","41.81","22","38","36.67","7","17","29.17","1","0","100.00","14.29","100.00","10.00","96.55","1.066"
"2008-10-11 - Blues 2, Islanders 5","New York Islanders","Limited ReportFull Report","60","61","56","52.14","49","36","57.65","34","26","56.67","5","2","71.43","3.85","2.56","60.02","30","25","54.55","16","11","59.26","2","2","50.00","16.67","80.00","14.71","92.31","1.070"
"2008-10-11 - Bruins 3, Wild 4","Minnesota Wild","Limited ReportFull Report","60","44","63","41.12","36","52","40.91","26","37","41.27","4","3","57.14","2.1","2.55","45.13","22","24","47.83","11","6","64.71","2","1","66.67","25.00","80.00","15.38","91.89","1.073"
"2008-10-11 - Canadiens 6, Maple Leafs 1","Toronto Maple Leafs","Limited ReportFull Report","60","51","71","41.80","42","51","45.16","25","34","42.37","1","6","14.29","2.22","3.15","41.29","25","37","40.32","9","8","52.94","1","3","25.00","16.67","50.00","4.00","82.35","0.864"
"2008-10-11 - Canucks 5, Flames 4","Calgary Flames","Limited ReportFull Report","63.9","58","53","52.25","44","43","50.57","29","34","46.03","4","5","44.44","2.55","3.12","44.97","25","27","48.08","11","12","47.83","2","4","33.33","22.22","63.64","13.79","85.29","0.991"
"2008-10-11 - Devils 2, Penguins 1","Pittsburgh Penguins","Limited ReportFull Report","64.366666666667","38","88","30.16","27","61","30.68","15","49","23.44","1","2","33.33","1.55","2.99","34.09","20","29","40.82","7","8","46.67","1","0","100.00","20.00","100.00","6.67","95.92","1.026"
"2008-10-11 - Hurricanes 4, Lightning 3","Tampa Bay Lightning","Limited ReportFull Report","64.6","51","71","41.80","41","59","41.00","29","46","38.67","3","4","42.86","2.08","3.4","37.95","20","31","39.22","6","14","30.00","1","2","33.33","16.67","84.62","10.34","91.30","1.016"
"2008-10-11 - Kings 1, Sharks 3","San Jose Sharks","Limited ReportFull Report","60","69","34","66.99","58","21","73.42","41","13","75.93","3","1","75.00","4.78","1.64","74.47","40","17","70.18","16","8","66.67","2","0","100.00","15.38","100.00","7.32","92.31","0.996"
"2008-10-11 - Rangers 4, Flyers 3","Philadelphia Flyers","Limited ReportFull Report","60","50","50","50.00","41","38","51.90","28","27","50.91","3","4","42.86","2.89","2.65","52.14","26","24","52.00","14","12","53.85","2","2","50.00","16.67","80.00","10.71","85.19","0.959"
"2008-10-11 - Red Wings 3, Senators 2","Ottawa Senators","Limited ReportFull Report","60","36","66","35.29","29","53","35.37","22","41","34.92","2","3","40.00","1.54","2.38","39.22","18","29","38.30","8","9","47.06","1","0","100.00","14.29","100.00","9.09","92.68","1.018"
"2008-10-11 - Stars 1, Predators 3","Nashville Predators","Limited ReportFull Report","60","64","41","60.95","47","32","59.49","32","20","61.54","3","1","75.00","3.77","1.79","67.76","28","18","60.87","15","5","75.00","3","0","100.00","25.00","100.00","9.38","95.00","1.044"
"2008-10-11 - Thrashers 2, Panthers 3","Florida Panthers","Limited ReportFull Report","63.9","61","47","56.48","51","40","56.04","39","33","54.17","3","2","60.00","2.65","2.18","54.90","30","21","58.82","10","7","58.82","1","2","33.33","20.00","66.67","7.69","93.94","1.016"
"2008-10-12 - Avalanche 2, Oilers 3","Edmonton Oilers","Limited ReportFull Report","60","41","60","40.59","29","48","37.66","19","33","36.54","3","2","60.00","1.72","4.02","29.99","14","28","33.33","8","16","33.33","2","1","66.67","28.57","90.91","15.79","93.94","1.097"
"2008-10-12 - Coyotes 4, Ducks 2","Anaheim Ducks","Limited ReportFull Report","60","58","39","59.79","50","32","60.98","35","24","59.32","2","4","33.33","2.59","2.24","53.60","30","21","58.82","7","7","50.00","0","4","0.00","0.00","42.86","5.71","83.33","0.890"
"2008-10-12 - Sharks 1, Kings 0","Los Angeles Kings","Limited ReportFull Report","60","49","55","47.12","36","42","46.15","21","19","52.50","0","1","0.00","2","2.41","45.34","16","28","36.36","8","9","47.06","0","0","-","0.00","100.00","0.00","94.74","0.947"
"2008-10-13 - Blues 5, Maple Leafs 4","Toronto Maple Leafs","Limited ReportFull Report","65","79","56","58.52","59","39","60.20","39","26","60.00","4","4","50.00","2.82","2.12","57.07","38","17","69.09","10","8","55.56","2","2","50.00","28.57","71.43","10.26","84.62","0.949"
"2008-10-13 - Canadiens 5, Flyers 3","Philadelphia Flyers","Limited ReportFull Report","60","59","54","52.21","44","39","53.01","32","27","54.24","3","5","37.50","2.48","3.27","43.17","22","22","50.00","11","9","55.00","1","2","33.33","14.29","66.67","9.38","81.48","0.909"
"2008-10-13 - Canucks 1, Capitals 5","Washington Capitals","Limited ReportFull Report","60","63","42","60.00","45","30","60.00","35","10","77.78","5","1","83.33","3.47","1.58","68.69","30","19","61.22","10","5","66.67","3","0","100.00","50.00","100.00","14.29","90.00","1.043"
"2008-10-13 - Devils 1, Rangers 4","New York Rangers","Limited ReportFull Report","60","45","58","43.69","32","39","45.07","24","27","47.06","4","1","80.00","2.21","2.56","46.31","17","22","43.59","5","12","29.41","2","1","66.67","40.00","87.50","16.67","96.30","1.130"
"2008-10-13 - Predators 3, Blackhawks 2","Chicago Blackhawks","Limited ReportFull Report","65","45","50","47.37","34","41","45.33","25","27","48.08","2","2","50.00","2.72","1.96","58.13","18","19","48.65","9","5","64.29","1","0","100.00","11.11","100.00","8.00","92.59","1.006"
"2008-10-13 - Red Wings 3, Hurricanes 1","Carolina Hurricanes","Limited ReportFull Report","60","47","68","40.87","36","48","42.86","28","36","43.75","1","3","25.00","1.8","3.48","34.17","26","30","46.43","9","12","42.86","0","1","0.00","0.00","87.50","3.57","91.67","0.952"
"2008-10-13 - Sabres 7, Islanders 1","New York Islanders","Limited ReportFull Report","60","48","61","44.04","35","42","45.45","24","35","40.68","1","7","12.50","1.88","2.72","40.88","23","28","45.10","12","16","42.86","0","3","0.00","0.00","76.92","4.17","80.00","0.842"
