"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2016-04-13 - Blackhawks 0, Blues 1","St Louis Blues","Limited ReportFull ReportSeries Report","69.066666666667","60","68","46.88","38","48","44.19","18","35","33.96","1","0","100.00","1.99","3.59","35.61","23","36","38.98","7","15","31.82","0","0","-","0.00","100.00","5.56","100.00","1.056"
"2016-04-13 - Rangers 2, Penguins 5","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","56","78","41.79","46","56","45.10","31","37","45.59","5","2","71.43","3.74","3.13","54.45","27","34","44.26","11","10","52.38","3","2","60.00","33.33","77.78","16.13","94.59","1.107"
"2016-04-13 - Red Wings 2, Lightning 3","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","56","61","47.86","46","46","50.00","34","36","48.57","3","2","60.00","2.76","2.39","53.58","21","27","43.75","10","11","47.62","2","1","66.67","22.22","88.89","8.82","94.44","1.033"
"2016-04-14 - Flyers 0, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","69","49","58.47","48","26","64.86","31","19","62.00","2","0","100.00","2.89","1.57","64.76","39","26","60.00","10","5","66.67","1","0","100.00","12.50","100.00","6.45","100.00","1.065"
"2016-04-14 - Islanders 5, Panthers 4","Florida Panthers","Limited ReportFull ReportSeries Report","60","77","42","64.71","59","33","64.13","46","26","63.89","4","5","44.44","2.94","1.8","62.08","36","21","63.16","11","6","64.71","3","3","50.00","37.50","50.00","8.70","80.77","0.895"
"2016-04-14 - Sharks 4, Kings 3","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","58","57","50.43","43","47","47.78","24","23","51.06","3","4","42.86","2.92","3.76","43.71","29","38","43.28","14","22","38.89","0","2","0.00","0.00","80.00","12.50","82.61","0.951"
"2016-04-14 - Wild 0, Stars 4","Dallas Stars","Limited ReportFull ReportSeries Report","60","62","46","57.41","41","27","60.29","32","22","59.26","4","0","100.00","3.18","0.62","83.78","30","9","76.92","12","1","92.31","2","0","100.00","22.22","-","12.50","100.00","1.125"
"2016-04-15 - Blackhawks 3, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","60","58","58","50.00","44","46","48.89","31","29","51.67","2","3","40.00","2.63","3.2","45.10","31","26","54.39","16","6","72.73","1","1","50.00","11.11","75.00","6.45","89.66","0.961"
"2016-04-15 - Islanders 1, Panthers 3","Florida Panthers","Limited ReportFull ReportSeries Report","60","49","68","41.88","41","56","42.27","31","42","42.47","3","1","75.00","2.94","2.4","55.10","26","27","49.06","11","7","61.11","1","1","50.00","14.29","85.71","9.68","97.62","1.073"
"2016-04-15 - Predators 3, Ducks 2","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","66","62","51.56","46","45","50.55","29","33","46.77","2","3","40.00","2.61","3.17","45.12","24","26","48.00","10","12","45.45","1","2","33.33","16.67","80.00","6.90","90.91","0.978"
"2016-04-15 - Red Wings 2, Lightning 5","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","58","51","53.21","44","36","55.00","31","32","49.21","5","2","71.43","3.13","1.46","68.18","26","23","53.06","10","4","71.43","1","0","100.00","11.11","100.00","16.13","93.75","1.099"
"2016-04-16 - Flyers 1, Capitals 4","Washington Capitals","Limited ReportFull ReportSeries Report","60","48","81","37.21","39","55","41.49","23","42","35.38","4","1","80.00","2.5","3.89","39.11","30","46","39.47","13","22","37.14","0","1","0.00","0.00","94.74","17.39","97.62","1.150"
"2016-04-16 - Rangers 4, Penguins 2","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","59","50","54.13","41","33","55.41","31","28","52.54","2","4","33.33","3","1.75","63.20","27","25","51.92","16","11","59.26","1","3","25.00","8.33","66.67","6.45","85.71","0.922"
"2016-04-16 - Sharks 2, Kings 1","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","79","53","59.85","51","36","58.62","27","23","54.00","1","2","33.33","3.31","2.71","54.94","36","27","57.14","19","11","63.33","1","1","50.00","11.11","80.00","3.70","91.30","0.950"
"2016-04-16 - Wild 1, Stars 2","Dallas Stars","Limited ReportFull ReportSeries Report","60","77","54","58.78","51","40","56.04","28","26","51.85","2","1","66.67","2.32","2.53","47.83","28","25","52.83","12","14","46.15","1","0","100.00","25.00","100.00","7.14","96.15","1.033"
"2016-04-17 - Blues 3, Blackhawks 2","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","68","62","52.31","55","43","56.12","46","36","56.10","2","3","40.00","2.9","2.98","49.39","24","28","46.15","7","16","30.43","1","0","100.00","14.29","100.00","4.35","91.67","0.960"
"2016-04-17 - Lightning 0, Red Wings 2","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","63","36","63.64","45","22","67.16","30","16","65.22","2","0","100.00","3.19","1.07","74.86","33","18","64.71","13","5","72.22","1","0","100.00","11.11","100.00","6.67","100.00","1.067"
"2016-04-17 - Panthers 3, Islanders 4","New York Islanders","Limited ReportFull ReportSeries Report","72.516666666667","66","73","47.48","52","56","48.15","39","39","50.00","4","3","57.14","3.33","4","45.41","37","47","44.05","24","23","51.06","3","3","50.00","15.79","83.33","10.26","92.31","1.026"
"2016-04-17 - Predators 3, Ducks 2","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","56","49","53.33","45","37","54.88","29","27","51.79","2","3","40.00","2.39","2.78","46.21","23","22","51.11","7","8","46.67","1","2","33.33","16.67","71.43","6.90","88.89","0.958"
"2016-04-18 - Capitals 6, Flyers 1","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","63","68","48.09","50","42","54.35","32","27","54.24","1","6","14.29","2.42","3.51","40.78","20","32","38.46","10","14","41.67","1","4","20.00","33.33","55.56","3.13","77.78","0.809"
"2016-04-18 - Kings 2, Sharks 1","San Jose Sharks","Limited ReportFull ReportSeries Report","63.783333333333","74","58","56.06","47","40","54.02","30","24","55.56","1","2","33.33","3.02","2.71","52.66","36","29","55.38","13","14","48.15","0","2","0.00","0.00","75.00","3.33","91.67","0.950"
"2016-04-18 - Stars 3, Wild 5","Minnesota Wild","Limited ReportFull ReportSeries Report","60","54","47","53.47","37","23","61.67","25","17","59.52","5","3","62.50","3.3","1","76.68","30","15","66.67","16","4","80.00","3","2","60.00","33.33","33.33","20.00","82.35","1.024"
"2016-04-19 - Blues 4, Blackhawks 3","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","66","34","66.00","50","25","66.67","42","20","67.74","3","4","42.86","3.11","1.6","66.08","33","20","62.26","20","8","71.43","2","2","50.00","11.76","60.00","7.14","80.00","0.871"
"2016-04-19 - Ducks 3, Predators 0","Nashville Predators","Limited ReportFull ReportSeries Report","60","57","39","59.38","42","28","60.00","27","21","56.25","0","3","0.00","1.68","1.52","52.38","22","18","55.00","4","8","33.33","0","3","0.00","0.00","40.00","0.00","85.71","0.857"
"2016-04-19 - Lightning 3, Red Wings 2","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","52","58","47.27","37","46","44.58","28","33","45.90","2","3","40.00","3","2.94","50.51","26","25","50.98","13","10","56.52","2","1","66.67","18.18","85.71","7.14","90.91","0.981"
"2016-04-19 - Penguins 3, Rangers 1","New York Rangers","Limited ReportFull ReportSeries Report","60","42","58","42.00","27","39","40.91","17","31","35.42","1","3","25.00","1.33","2.6","33.91","17","29","36.96","3","13","18.75","0","2","0.00","0.00","83.33","5.88","90.32","0.962"
"2016-04-20 - Capitals 1, Flyers 2","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","47","76","38.21","35","47","42.68","25","32","43.86","2","1","66.67","1.28","2.88","30.74","12","32","27.27","6","14","30.00","0","1","0.00","0.00","87.50","8.00","96.88","1.049"
"2016-04-20 - Kings 2, Sharks 3","San Jose Sharks","Limited ReportFull ReportSeries Report","60","58","66","46.77","40","41","49.38","29","28","50.88","3","2","60.00","3.13","1.59","66.33","26","18","59.09","13","9","59.09","2","1","66.67","18.18","80.00","10.34","92.86","1.032"
"2016-04-20 - Panthers 2, Islanders 1","New York Islanders","Limited ReportFull ReportSeries Report","60","49","63","43.75","39","41","48.75","27","29","48.21","1","2","33.33","2.37","2.88","45.11","33","40","45.21","11","17","39.29","1","1","50.00","10.00","92.31","3.70","93.10","0.968"
"2016-04-20 - Stars 3, Wild 2","Minnesota Wild","Limited ReportFull ReportSeries Report","60","56","51","52.34","40","38","51.28","30","22","57.69","2","3","40.00","1.93","1.95","49.77","16","18","47.06","6","8","42.86","2","2","50.00","33.33","71.43","6.67","86.36","0.930"
"2016-04-21 - Blackhawks 4, Blues 3","St Louis Blues","Limited ReportFull ReportSeries Report","83.116666666667","83","69","54.61","65","50","56.52","46","35","56.79","3","4","42.86","3.59","2.23","61.69","30","30","50.00","11","6","64.71","1","3","25.00","10.00","50.00","6.52","88.57","0.951"
"2016-04-21 - Ducks 4, Predators 1","Nashville Predators","Limited ReportFull ReportSeries Report","60","63","45","58.33","38","33","53.52","31","25","55.36","1","4","20.00","2.13","2.23","48.82","19","19","50.00","9","9","50.00","1","3","25.00","12.50","62.50","3.23","84.00","0.872"
"2016-04-21 - Penguins 5, Rangers 0","New York Rangers","Limited ReportFull ReportSeries Report","60","71","56","55.91","56","44","56.00","31","32","49.21","0","5","0.00","3.58","3.69","49.27","37","32","53.62","20","18","52.63","0","3","0.00","0.00","81.25","0.00","84.38","0.844"
"2016-04-21 - Red Wings 0, Lightning 1","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","51","66","43.59","39","47","45.35","24","34","41.38","1","0","100.00","1.77","2.52","41.18","19","29","39.58","5","8","38.46","1","0","100.00","33.33","100.00","4.17","100.00","1.042"
"2016-04-22 - Flyers 2, Capitals 0","Washington Capitals","Limited ReportFull ReportSeries Report","60","82","27","75.23","63","21","75.00","44","11","80.00","0","2","0.00","3.33","2.02","62.22","37","11","77.08","17","7","70.83","0","2","0.00","0.00","50.00","0.00","81.82","0.818"
"2016-04-22 - Islanders 2, Panthers 1","Florida Panthers","Limited ReportFull ReportSeries Report","96","96","68","58.54","69","54","56.10","48","42","53.33","1","2","33.33","3.81","2.86","57.09","41","27","60.29","11","9","55.00","1","1","50.00","11.11","85.71","2.08","95.24","0.973"
"2016-04-22 - Sharks 6, Kings 3","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","69","47","59.48","40","36","52.63","22","28","44.00","3","6","33.33","2.71","2.98","47.58","37","19","66.07","17","6","73.91","3","2","60.00","33.33","60.00","13.64","78.57","0.922"
"2016-04-22 - Wild 5, Stars 4","Dallas Stars","Limited ReportFull ReportSeries Report","64.916666666667","93","47","66.43","59","33","64.13","41","24","63.08","4","5","44.44","3.39","2.27","59.86","41","26","61.19","18","13","58.06","1","5","16.67","7.14","54.55","9.76","79.17","0.889"
"2016-04-23 - Blues 3, Blackhawks 6","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","54","52","50.94","43","36","54.43","36","28","56.25","6","3","66.67","3.27","1.54","67.89","27","19","58.70","17","6","73.91","4","1","80.00","26.67","83.33","16.67","89.29","1.060"
"2016-04-23 - Predators 2, Ducks 5","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","57","63","47.50","46","49","48.42","32","29","52.46","5","2","71.43","4.02","2.44","62.27","26","27","49.06","13","13","50.00","3","2","60.00","30.00","80.00","15.63","93.10","1.087"
"2016-04-23 - Rangers 3, Penguins 6","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","48","69","41.03","36","50","41.86","28","41","40.58","6","3","66.67","2.36","3.1","43.18","21","26","44.68","13","14","48.15","4","2","66.67","36.36","80.00","21.43","92.68","1.141"
"2016-04-24 - Capitals 1, Flyers 0","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","53","65","44.92","37","44","45.68","26","29","47.27","0","1","0.00","1.87","2.71","40.92","19","19","50.00","6","9","40.00","0","0","-","0.00","100.00","0.00","96.55","0.966"
"2016-04-24 - Panthers 1, Islanders 2","New York Islanders","Limited ReportFull ReportSeries Report","90.683333333333","99","84","54.10","76","66","53.52","51","42","54.84","2","1","66.67","4.64","3.32","58.25","59","46","56.19","22","14","61.11","2","1","66.67","12.50","92.31","3.92","97.62","1.015"
"2016-04-24 - Stars 5, Wild 4","Minnesota Wild","Limited ReportFull ReportSeries Report","60","54","49","52.43","37","30","55.22","29","24","54.72","4","5","44.44","2.56","1.68","60.39","24","21","53.33","13","5","72.22","3","2","60.00","27.27","60.00","13.79","79.17","0.930"
"2016-04-25 - Blackhawks 2, Blues 3","St Louis Blues","Limited ReportFull ReportSeries Report","60","47","63","42.73","36","43","45.57","26","33","44.07","3","2","60.00","2.77","2.56","51.97","28","31","47.46","13","7","65.00","2","0","100.00","22.22","100.00","11.54","93.94","1.055"
"2016-04-25 - Ducks 1, Predators 3","Nashville Predators","Limited ReportFull ReportSeries Report","60","49","62","44.14","38","41","48.10","26","27","49.06","3","1","75.00","1.97","2.34","45.74","21","26","44.68","6","7","46.15","1","1","50.00","20.00","80.00","11.54","96.30","1.078"
"2016-04-27 - Islanders 5, Lightning 3","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","65","44","59.63","50","34","59.52","36","22","62.07","3","5","37.50","2.21","2.68","45.19","24","23","51.06","8","10","44.44","1","2","33.33","20.00","75.00","8.33","77.27","0.856"
"2016-04-27 - Predators 2, Ducks 1","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","77","45","63.11","53","35","60.23","37","20","64.91","1","2","33.33","3.01","2.03","59.73","28","17","62.22","13","5","72.22","1","2","33.33","11.11","60.00","2.70","90.00","0.927"
"2016-04-28 - Penguins 3, Capitals 4","Washington Capitals","Limited ReportFull ReportSeries Report","69.55","76","77","49.67","49","61","44.55","35","45","43.75","4","3","57.14","2.68","2.96","47.58","33","35","48.53","13","10","56.52","3","2","60.00","30.00","71.43","11.43","93.33","1.048"
"2016-04-29 - Blues 1, Stars 2","Dallas Stars","Limited ReportFull ReportSeries Report","60","72","68","51.43","61","46","57.01","42","32","56.76","2","1","66.67","4.27","2.57","62.42","39","27","59.09","23","12","65.71","2","0","100.00","10.53","100.00","4.76","96.88","1.016"
"2016-04-29 - Predators 2, Sharks 5","San Jose Sharks","Limited ReportFull ReportSeries Report","60","79","55","58.96","54","40","57.45","38","31","55.07","5","2","71.43","5.14","2.34","68.72","38","27","58.46","22","10","68.75","2","1","66.67","12.50","88.89","13.16","93.55","1.067"
"2016-04-30 - Islanders 1, Lightning 4","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","59","39","60.20","45","32","58.44","31","20","60.78","4","1","80.00","2.64","1.13","69.92","27","12","69.23","11","2","84.62","1","1","50.00","16.67","0.00","12.90","95.00","1.079"
"2016-04-30 - Penguins 2, Capitals 1","Washington Capitals","Limited ReportFull ReportSeries Report","60","54","79","40.60","30","57","34.48","24","35","40.68","1","2","33.33","1.44","3.59","28.64","23","35","39.66","6","16","27.27","1","2","33.33","16.67","81.82","4.17","94.29","0.985"
"2016-05-01 - Blues 4, Stars 3","Dallas Stars","Limited ReportFull ReportSeries Report","70.966666666667","70","58","54.69","47","35","57.32","34","25","57.63","3","4","42.86","2.53","2.83","47.20","22","25","46.81","13","15","46.43","2","3","40.00","20.00","70.00","8.82","84.00","0.928"
"2016-05-01 - Predators 2, Sharks 3","San Jose Sharks","Limited ReportFull ReportSeries Report","60","61","75","44.85","37","50","42.53","25","39","39.06","3","2","60.00","3.31","3.09","51.73","28","30","48.28","9","12","42.86","2","1","66.67","28.57","90.91","12.00","94.87","1.069"
"2016-05-02 - Capitals 2, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","36","85","29.75","30","66","31.25","23","49","31.94","3","2","60.00","1.24","3.88","24.25","14","39","26.42","4","11","26.67","1","1","50.00","50.00","90.00","13.04","95.92","1.090"
"2016-05-03 - Lightning 5, Islanders 4","New York Islanders","Limited ReportFull ReportSeries Report","62.8","59","73","44.70","47","50","48.45","39","41","48.75","4","5","44.44","4.24","3.77","52.95","41","47","46.59","22","20","52.38","2","4","33.33","9.52","77.78","10.26","87.80","0.981"
"2016-05-03 - Sharks 1, Predators 4","Nashville Predators","Limited ReportFull ReportSeries Report","60","57","56","50.44","38","37","50.67","25","27","48.08","4","1","80.00","2.11","1.4","60.16","29","18","61.70","8","3","72.73","1","1","50.00","20.00","66.67","16.00","96.30","1.123"
"2016-05-03 - Stars 1, Blues 6","St Louis Blues","Limited ReportFull ReportSeries Report","60","59","53","52.68","51","38","57.30","39","26","60.00","6","1","85.71","2.82","2.18","56.46","37","22","62.71","10","6","62.50","2","1","66.67","25.00","80.00","15.38","96.15","1.115"
"2016-05-04 - Capitals 2, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","62.566666666667","61","69","46.92","47","55","46.08","33","36","47.83","3","2","60.00","2.2","3.27","40.26","22","36","37.93","9","21","30.00","1","1","50.00","14.29","93.33","9.09","94.44","1.035"
