"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2019-04-10 - Blue Jackets 4, Lightning 3","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","50","49","50.51","36","33","52.17","29","26","52.73","3","4","42.86","2.26","1.3","63.43","29","19","60.42","11","5","68.75","2","0","100.00","22.22","100.00","10.34","84.62","0.950"
"2019-04-10 - Blues 2, Jets 1","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","49","55","47.12","33","42","44.00","25","26","49.02","1","2","33.33","1.59","2.69","37.11","20","22","47.62","7","7","50.00","1","0","100.00","16.67","100.00","4.00","92.31","0.963"
"2019-04-10 - Golden Knights 2, Sharks 5","San Jose Sharks","Limited ReportFull ReportSeries Report","60","64","57","52.89","43","41","51.19","33","26","55.93","5","2","71.43","2.87","3.19","47.29","30","25","54.55","10","13","43.48","2","1","66.67","25.00","90.00","15.15","92.31","1.075"
"2019-04-10 - Penguins 3, Islanders 4","New York Islanders","Limited ReportFull ReportSeries Report","64.65","62","83","42.76","49","66","42.61","33","44","42.86","4","3","57.14","3.42","3.72","47.91","41","41","50.00","19","16","54.29","3","0","100.00","23.08","100.00","12.12","93.18","1.053"
"2019-04-10 - Stars 3, Predators 2","Nashville Predators","Limited ReportFull ReportSeries Report","60","64","56","53.33","45","38","54.22","32","29","52.46","2","3","40.00","2.72","2.42","52.86","35","31","53.03","13","10","56.52","0","2","0.00","0.00","77.78","6.25","89.66","0.959"
"2019-04-11 - Avalanche 0, Flames 4","Calgary Flames","Limited ReportFull ReportSeries Report","60","60","58","50.85","42","39","51.85","32","26","55.17","4","0","100.00","2.29","2.09","52.26","25","25","50.00","10","10","50.00","1","0","100.00","14.29","100.00","12.50","100.00","1.125"
"2019-04-11 - Hurricanes 2, Capitals 4","Washington Capitals","Limited ReportFull ReportSeries Report","60","43","69","38.39","34","52","39.53","18","29","38.30","4","2","66.67","3.76","2.54","59.67","21","25","45.65","9","7","56.25","2","1","66.67","28.57","80.00","22.22","93.10","1.153"
"2019-04-11 - Maple Leafs 4, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","60","64","56","53.33","50","45","52.63","38","33","53.52","1","4","20.00","2.69","4.18","39.15","28","31","47.46","13","15","46.43","0","2","0.00","0.00","80.00","2.63","87.88","0.905"
"2019-04-12 - Blue Jackets 5, Lightning 1","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","52","43","54.74","36","34","51.43","24","27","47.06","1","5","16.67","1.39","1.92","41.96","17","23","42.50","8","8","50.00","0","3","0.00","0.00","57.14","4.17","81.48","0.856"
"2019-04-12 - Blues 4, Jets 3","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","54","50","51.92","42","38","52.50","29","32","47.54","3","4","42.86","2.28","1.99","53.41","25","21","54.35","11","6","64.71","1","1","50.00","14.29","80.00","10.34","87.50","0.978"
