"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2009-04-15 - Blues 1, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","49","48","50.52","39","36","52.00","31","26","54.39","2","1","66.67","2.37","1.92","55.21","20","18","52.63","10","3","76.92","1","1","50.00","12.50","50.00","6.45","96.15","1.026"
"2009-04-15 - Flyers 1, Penguins 4","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","57","60","48.72","40","41","49.38","33","27","55.00","4","1","80.00","2.57","2.65","49.22","24","26","48.00","10","8","55.56","3","1","75.00","37.50","83.33","12.12","96.30","1.084"
"2009-04-15 - Hurricanes 1, Devils 4","New Jersey Devils","Limited ReportFull ReportSeries Report","60","63","35","64.29","51","24","68.00","39","19","67.24","4","1","80.00","4.18","1.13","78.74","40","15","72.73","17","6","73.91","1","1","50.00","7.69","83.33","10.26","94.74","1.050"
"2009-04-15 - Rangers 4, Capitals 3","Washington Capitals","Limited ReportFull ReportSeries Report","60","72","48","60.00","51","38","57.30","35","21","62.50","3","4","42.86","2.28","2.08","52.34","25","24","51.02","6","7","46.15","1","2","33.33","16.67","33.33","8.57","80.95","0.895"
"2009-04-16 - Blue Jackets 1, Red Wings 4","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","58","46","55.77","42","29","59.15","34","21","61.82","4","1","80.00","0","0","-","3","1","75.00","0","0","-","0","0","-","-","-","11.76","95.24","1.070"
"2009-04-16 - Canadiens 2, Bruins 4","Boston Bruins","Limited ReportFull ReportSeries Report","60","58","49","54.21","49","39","55.68","39","28","58.21","4","2","66.67","3.52","2.21","61.43","22","16","57.89","10","8","55.56","3","1","75.00","33.33","87.50","10.26","92.86","1.031"
"2009-04-16 - Ducks 2, Sharks 0","San Jose Sharks","Limited ReportFull ReportSeries Report","60","61","38","61.62","43","27","61.43","35","17","67.31","0","2","0.00","2.67","1.49","64.25","26","19","57.78","10","6","62.50","0","0","-","0.00","100.00","0.00","88.24","0.882"
"2009-04-16 - Flames 2, Blackhawks 3","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60.2","50","34","59.52","40","29","57.97","28","25","52.83","3","2","60.00","1.57","2.23","41.34","13","17","43.33","3","11","21.43","2","2","50.00","66.67","81.82","10.71","92.00","1.027"
"2009-04-17 - Blues 0, Canucks 3","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","61","56","52.14","44","41","51.76","27","30","47.37","3","0","100.00","3.37","2.64","56.09","43","26","62.32","17","15","53.13","2","0","100.00","20.00","100.00","11.11","100.00","1.111"
"2009-04-17 - Flyers 2, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","78.483333333333","79","72","52.32","64","54","54.24","49","40","55.06","3","2","60.00","3.31","2.67","55.37","36","26","58.06","12","12","50.00","2","1","66.67","20.00","90.91","6.12","95.00","1.011"
"2009-04-17 - Hurricanes 2, Devils 1","New Jersey Devils","Limited ReportFull ReportSeries Report","62.666666666667","51","42","54.84","43","39","52.44","34","32","51.52","1","2","33.33","2.34","1.99","54.05","23","21","52.27","7","7","50.00","1","1","50.00","14.29","83.33","2.94","93.75","0.967"
"2009-04-18 - Blue Jackets 0, Red Wings 4","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","76","48","61.29","56","36","60.87","39","25","60.94","4","0","100.00","3.03","2.43","55.53","28","19","59.57","10","10","50.00","1","0","100.00","12.50","100.00","10.26","100.00","1.103"
"2009-04-18 - Canadiens 1, Bruins 5","Boston Bruins","Limited ReportFull ReportSeries Report","60","53","54","49.53","41","47","46.59","31","31","50.00","5","1","83.33","2.65","2.52","51.27","30","27","52.63","14","12","53.85","1","0","100.00","9.09","100.00","16.13","96.77","1.129"
"2009-04-18 - Flames 2, Blackhawks 3","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","51","46","52.58","42","35","54.55","33","32","50.77","3","2","60.00","2.75","2.49","52.48","20","27","42.55","13","8","61.90","2","2","50.00","18.18","71.43","9.09","93.75","1.028"
"2009-04-18 - Rangers 1, Capitals 0","Washington Capitals","Limited ReportFull ReportSeries Report","60","88","48","64.71","59","35","62.77","35","24","59.32","0","1","0.00","4.09","1.79","69.57","43","17","71.67","15","12","55.56","0","1","0.00","0.00","87.50","0.00","95.83","0.958"
"2009-04-19 - Canucks 3, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","60","52","51","50.49","40","35","53.33","26","26","50.00","2","3","40.00","2.58","2.58","50.03","29","25","53.70","5","8","38.46","1","2","33.33","25.00","71.43","7.69","88.46","0.962"
"2009-04-19 - Devils 3, Hurricanes 2","Carolina Hurricanes","Limited ReportFull ReportSeries Report","64.966666666667","59","71","45.38","48","52","48.00","30","35","46.15","2","3","40.00","2.9","2.75","51.33","19","25","43.18","10","11","47.62","2","3","40.00","28.57","62.50","6.67","91.43","0.981"
"2009-04-19 - Ducks 3, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","83","51","61.94","62","40","60.78","44","26","62.86","2","3","40.00","4.9","3.97","55.26","42","32","56.76","25","14","64.10","1","2","33.33","5.00","83.33","4.55","88.46","0.930"
"2009-04-19 - Penguins 3, Flyers 6","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","55","59","48.25","39","40","49.37","30","29","50.85","6","3","66.67","3.55","2.08","63.06","25","24","51.02","13","9","59.09","5","0","100.00","45.45","100.00","20.00","89.66","1.097"
