"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2011-04-13 - Blackhawks 0, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","63","62","50.40","45","51","46.88","33","32","50.77","2","0","100.00","2.07","2.99","40.85","32","34","48.48","7","15","31.82","2","0","100.00","40.00","100.00","6.06","100.00","1.061"
"2011-04-13 - Coyotes 2, Red Wings 4","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","59","61","49.17","51","43","54.26","36","28","56.25","4","2","66.67","3.58","2.17","62.27","34","33","50.75","14","10","58.33","1","0","100.00","10.00","100.00","11.11","92.86","1.040"
"2011-04-13 - Lightning 0, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","77","58","57.04","55","45","55.00","40","32","55.56","3","0","100.00","3.4","2.83","54.55","28","25","52.83","10","10","50.00","0","0","-","0.00","100.00","7.50","100.00","1.075"
"2011-04-13 - Predators 4, Ducks 1","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","61","55","52.59","41","38","51.90","28","30","48.28","1","4","20.00","3.19","2.33","57.74","36","29","55.38","16","9","64.00","1","1","50.00","7.14","85.71","3.57","86.67","0.902"
"2011-04-13 - Rangers 1, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","78.4","80","65","55.17","52","33","61.18","33","25","56.90","2","1","66.67","3.08","1.74","63.92","35","28","55.56","10","6","62.50","1","0","100.00","11.11","100.00","6.06","96.00","1.021"
"2011-04-14 - Canadiens 2, Bruins 0","Boston Bruins","Limited ReportFull ReportSeries Report","60","59","43","57.84","40","30","57.14","31","20","60.78","0","2","0.00","1.84","1.29","58.80","23","13","63.89","9","3","75.00","0","0","-","0.00","100.00","0.00","90.00","0.900"
"2011-04-14 - Kings 2, Sharks 3","San Jose Sharks","Limited ReportFull ReportSeries Report","74.733333333333","80","82","49.38","59","49","54.63","45","35","56.25","3","2","60.00","3.82","2.03","65.33","43","29","59.72","16","9","64.00","1","1","50.00","8.33","88.89","6.67","94.29","1.010"
"2011-04-14 - Sabres 1, Flyers 0","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","74","36","67.27","58","32","64.44","35","25","58.33","0","1","0.00","3.59","1.94","64.91","34","8","80.95","17","4","80.95","0","1","0.00","0.00","75.00","0.00","96.00","0.960"
"2011-04-15 - Blackhawks 3, Canucks 4","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","54","43","55.67","42","33","56.00","27","26","50.94","4","3","57.14","1.89","2.12","47.20","22","15","59.46","12","10","54.55","2","2","50.00","28.57","75.00","14.81","88.46","1.033"
"2011-04-15 - Lightning 5, Penguins 1","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","66","38","63.46","52","27","65.82","36","21","63.16","1","5","16.67","2.48","2.49","49.87","25","16","60.98","7","8","46.67","1","2","33.33","16.67","71.43","2.78","76.19","0.790"
"2011-04-15 - Predators 3, Ducks 5","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","40","65","38.10","33","51","39.29","28","34","45.16","5","3","62.50","2.83","3.56","44.29","18","27","40.00","9","12","42.86","4","3","57.14","44.44","75.00","17.86","91.18","1.090"
"2011-04-15 - Rangers 0, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","46","48","48.94","31","27","53.45","18","22","45.00","2","0","100.00","1.87","1.54","54.94","21","27","43.75","7","7","50.00","1","0","100.00","25.00","100.00","11.11","100.00","1.111"
"2011-04-16 - Canadiens 3, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","60","73","38","65.77","46","30","60.53","35","26","57.38","1","3","25.00","1.98","2.18","47.64","24","21","53.33","5","8","38.46","1","3","25.00","20.00","57.14","2.86","88.46","0.913"
"2011-04-16 - Coyotes 3, Red Wings 4","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","59","51","53.64","48","38","55.81","31","33","48.44","4","3","57.14","2.62","3.01","46.60","31","20","60.78","15","11","57.69","2","2","50.00","25.00","80.00","12.90","90.91","1.038"
"2011-04-16 - Kings 4, Sharks 0","San Jose Sharks","Limited ReportFull ReportSeries Report","60","72","38","65.45","50","30","62.50","34","23","59.65","0","4","0.00","2.39","1.5","61.48","25","14","64.10","9","5","64.29","0","1","0.00","0.00","80.00","0.00","82.61","0.826"
"2011-04-16 - Sabres 4, Flyers 5","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","62","57","52.10","46","39","54.12","34","28","54.84","5","4","55.56","3.36","2.35","58.88","26","20","56.52","13","9","59.09","3","4","42.86","30.00","50.00","14.71","85.71","1.004"
"2011-04-17 - Canucks 3, Blackhawks 2","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","52","43","54.74","43","36","54.43","32","26","55.17","2","3","40.00","2.51","1.74","59.04","22","15","59.46","5","9","35.71","0","2","0.00","0.00","71.43","6.25","88.46","0.947"
"2011-04-17 - Capitals 2, Rangers 3","New York Rangers","Limited ReportFull ReportSeries Report","60","60","52","53.57","49","40","55.06","35","25","58.33","3","2","60.00","2.97","2.27","56.63","21","19","52.50","10","10","50.00","2","2","50.00","22.22","75.00","8.57","92.00","1.006"
"2011-04-17 - Ducks 3, Predators 4","Nashville Predators","Limited ReportFull ReportSeries Report","60","70","42","62.50","52","28","65.00","37","16","69.81","4","3","57.14","3.36","1.5","69.12","31","19","62.00","16","8","66.67","4","3","57.14","36.36","57.14","10.81","81.25","0.921"
"2011-04-18 - Bruins 4, Canadiens 2","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","67","56","54.47","45","39","53.57","36","25","59.02","2","4","33.33","2.41","3.03","44.30","20","31","39.22","8","6","57.14","1","1","50.00","14.29","75.00","5.56","84.00","0.896"
"2011-04-18 - Flyers 4, Sabres 2","Buffalo Sabres","Limited ReportFull ReportSeries Report","60","64","45","58.72","47","36","56.63","37","26","58.73","2","4","33.33","3.15","1.96","61.60","27","19","58.70","18","10","64.29","1","2","33.33","6.25","80.00","5.41","84.62","0.900"
"2011-04-18 - Penguins 3, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","52","59","46.85","36","44","45.00","27","30","47.37","2","3","40.00","2.14","2.14","49.92","25","29","46.30","14","9","60.87","2","2","50.00","16.67","75.00","7.41","90.00","0.974"
"2011-04-18 - Red Wings 4, Coyotes 2","Phoenix Coyotes","Limited ReportFull ReportSeries Report","60","65","66","49.62","50","53","48.54","30","34","46.88","2","4","33.33","2.79","3.9","41.71","31","28","52.54","8","14","36.36","1","1","50.00","33.33","87.50","6.67","88.24","0.949"
"2011-04-19 - Canucks 2, Blackhawks 7","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","51","43","54.26","44","32","57.89","35","23","60.34","7","2","77.78","2.6","1.96","57.04","31","17","64.58","11","6","64.71","4","1","80.00","36.36","80.00","20.00","91.30","1.113"
"2011-04-19 - Sharks 6, Kings 5","Los Angeles Kings","Limited ReportFull ReportSeries Report","63.15","47","73","39.17","33","55","37.50","22","36","37.93","5","6","45.45","1.54","2.37","39.32","20","31","39.22","8","10","44.44","3","3","50.00","50.00","62.50","22.73","83.33","1.061"
"2011-04-20 - Capitals 4, Rangers 3","New York Rangers","Limited ReportFull ReportSeries Report","92.6","72","103","41.14","51","75","40.48","39","53","42.39","3","4","42.86","4.18","6.33","39.77","44","62","41.51","21","31","40.38","2","3","40.00","14.29","86.36","7.69","92.45","1.001"
"2011-04-20 - Ducks 6, Predators 3","Nashville Predators","Limited ReportFull ReportSeries Report","60","52","57","47.71","32","46","41.03","22","38","36.67","3","6","33.33","2.19","3.67","37.33","25","28","47.17","11","16","40.74","3","4","42.86","42.86","75.00","13.64","84.21","0.978"
"2011-04-20 - Flyers 0, Sabres 1","Buffalo Sabres","Limited ReportFull ReportSeries Report","60","52","65","44.44","37","51","42.05","29","32","47.54","1","0","100.00","2.47","2.81","46.84","22","32","40.74","10","19","34.48","1","0","100.00","11.11","100.00","3.45","100.00","1.034"
"2011-04-20 - Penguins 3, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","83.633333333333","74","98","43.02","56","74","43.08","31","53","36.90","2","3","40.00","2.69","3.27","45.12","31","38","44.93","14","19","42.42","2","1","66.67","25.00","92.86","6.45","94.34","1.008"
"2011-04-20 - Red Wings 6, Coyotes 3","Phoenix Coyotes","Limited ReportFull ReportSeries Report","60","56","71","44.09","43","58","42.57","27","40","40.30","3","6","33.33","2.21","3.33","39.96","25","29","46.30","9","11","45.00","1","3","25.00","16.67","66.67","11.11","85.00","0.961"
"2011-04-21 - Blackhawks 5, Canucks 0","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","63","41","60.58","43","32","57.33","36","26","58.06","0","5","0.00","1.83","1.71","51.59","30","16","65.22","7","8","46.67","0","1","0.00","0.00","83.33","0.00","80.77","0.808"
"2011-04-21 - Bruins 5, Canadiens 4","Montreal Canadiens","Limited ReportFull ReportSeries Report","61.983333333333","71","70","50.35","54","54","50.00","38","35","52.05","4","5","44.44","2.94","3.5","45.63","28","32","46.67","17","15","53.13","2","3","40.00","20.00","70.00","10.53","85.71","0.962"
"2011-04-21 - Sharks 6, Kings 3","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","72","54","57.14","56","40","58.33","38","27","58.46","3","6","33.33","3.11","3.1","50.11","27","27","50.00","10","9","52.63","2","4","33.33","28.57","42.86","7.89","77.78","0.857"
"2011-04-22 - Predators 4, Ducks 3","Anaheim Ducks","Limited ReportFull ReportSeries Report","61.95","42","70","37.50","35","51","40.70","26","37","41.27","3","4","42.86","1.95","2.96","39.79","14","32","30.43","9","15","37.50","3","3","50.00","33.33","70.00","11.54","89.19","1.007"
"2011-04-22 - Sabres 4, Flyers 3","Philadelphia Flyers","Limited ReportFull ReportSeries Report","65.516666666667","87","50","63.50","58","42","58.00","39","32","54.93","3","4","42.86","4.41","2.58","63.06","38","22","63.33","19","14","57.58","2","1","66.67","12.50","87.50","7.69","87.50","0.952"
"2011-04-23 - Canadiens 1, Bruins 2","Boston Bruins","Limited ReportFull ReportSeries Report","89.05","92","76","54.76","72","55","56.69","51","45","53.13","2","1","66.67","4.01","2.87","58.23","39","30","56.52","13","10","56.52","1","1","50.00","11.11","88.89","3.92","97.78","1.017"
"2011-04-23 - Kings 3, Sharks 1","San Jose Sharks","Limited ReportFull ReportSeries Report","60","89","41","68.46","66","27","70.97","52","22","70.27","1","3","25.00","5.41","2.3","70.18","48","19","71.64","24","10","70.59","1","2","33.33","5.26","75.00","1.92","86.36","0.883"
"2011-04-23 - Lightning 8, Penguins 2","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","67","40","62.62","45","33","57.69","33","25","56.90","2","8","20.00","2.66","2.87","48.08","27","19","58.70","10","12","45.45","2","7","22.22","22.22","41.67","6.06","68.00","0.741"
"2011-04-23 - Rangers 1, Capitals 3","Washington Capitals","Limited ReportFull ReportSeries Report","60","63","54","53.85","43","35","55.13","27","27","50.00","3","1","75.00","2.86","1.66","63.26","23","24","48.94","9","5","64.29","2","1","66.67","25.00","75.00","11.11","96.30","1.074"
"2011-04-24 - Canucks 3, Blackhawks 4","Chicago Blackhawks","Limited ReportFull ReportSeries Report","75.5","54","85","38.85","42","54","43.75","33","35","48.53","4","3","57.14","3.39","2.65","56.09","24","30","44.44","10","8","55.56","3","2","60.00","30.00","66.67","12.12","91.43","1.035"
"2011-04-24 - Ducks 2, Predators 4","Nashville Predators","Limited ReportFull ReportSeries Report","60","56","59","48.70","41","42","49.40","30","27","52.63","4","2","66.67","3.08","2.67","53.58","26","32","44.83","16","11","59.26","2","1","66.67","16.67","83.33","13.33","92.59","1.059"
"2011-04-24 - Flyers 5, Sabres 4","Buffalo Sabres","Limited ReportFull ReportSeries Report","64.716666666667","66","80","45.21","49","64","43.36","33","49","40.24","4","5","44.44","3.09","4.27","42.02","32","31","50.79","13","20","39.39","1","2","33.33","10.00","88.24","12.12","89.80","1.019"
"2011-04-25 - Penguins 2, Lightning 4","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","45","64","41.28","32","38","45.71","21","29","42.00","4","2","66.67","2.03","2.54","44.41","22","27","44.90","10","10","50.00","4","1","80.00","44.44","87.50","19.05","93.10","1.122"
"2011-04-25 - Sharks 4, Kings 3","Los Angeles Kings","Limited ReportFull ReportSeries Report","62.366666666667","59","67","46.83","41","48","46.07","29","35","45.31","3","4","42.86","3.11","3.12","49.98","26","32","44.83","10","13","43.48","3","2","60.00","33.33","84.62","10.34","88.57","0.989"
"2011-04-26 - Blackhawks 1, Canucks 2","Vancouver Canucks","Limited ReportFull ReportSeries Report","65.366666666667","69","57","54.76","53","41","56.38","38","32","54.29","2","1","66.67","4.6","2.75","62.57","40","23","63.49","22","11","66.67","1","1","50.00","5.88","90.00","5.26","96.88","1.021"
"2011-04-26 - Bruins 1, Canadiens 2","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","52","72","41.94","39","45","46.43","27","32","45.76","2","1","66.67","2.42","1.73","58.32","17","26","39.53","5","7","41.67","1","0","100.00","33.33","100.00","7.41","96.88","1.043"
"2011-04-26 - Sabres 2, Flyers 5","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","70","72","49.30","51","44","53.68","36","28","56.25","5","2","71.43","3.69","3.05","54.81","35","33","51.47","19","12","61.29","2","1","66.67","13.33","85.71","13.89","92.86","1.067"
"2011-04-27 - Canadiens 3, Bruins 4","Boston Bruins","Limited ReportFull ReportSeries Report","65.716666666667","59","54","52.21","41","41","50.00","34","37","47.89","4","3","57.14","2.19","2.18","50.12","26","21","55.32","7","6","53.85","1","1","50.00","14.29","83.33","11.76","91.89","1.037"
"2011-04-27 - Lightning 1, Penguins 0","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","79","45","63.71","57","34","62.64","36","23","61.02","0","1","0.00","3.16","1.56","67.02","28","17","62.22","11","3","78.57","0","0","-","0.00","100.00","0.00","95.65","0.957"
"2011-04-28 - Predators 0, Canucks 1","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","53","41","56.38","38","29","56.72","30","20","60.00","1","0","100.00","2.18","1.5","59.32","32","17","65.31","9","6","60.00","1","0","100.00","14.29","100.00","3.33","100.00","1.033"
"2011-04-29 - Lightning 4, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","61","49","55.45","38","34","52.78","28","24","53.85","2","4","33.33","3.01","4.44","40.40","31","28","52.54","14","16","46.67","2","4","33.33","18.18","69.23","7.14","83.33","0.905"
"2011-04-29 - Red Wings 1, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","67.05","92","57","61.74","65","36","64.36","46","25","64.79","2","1","66.67","4.1","1.79","69.57","38","26","59.38","17","5","77.27","1","0","100.00","11.11","100.00","4.35","96.00","1.003"
"2011-04-30 - Bruins 7, Flyers 3","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","57","66","46.34","41","41","50.00","34","33","50.75","3","7","30.00","3.4","2.91","53.85","27","27","50.00","15","12","55.56","1","7","12.50","8.33","41.67","8.82","78.79","0.876"
"2011-04-30 - Predators 2, Canucks 1","Vancouver Canucks","Limited ReportFull ReportSeries Report","94.85","79","80","49.69","56","61","47.86","33","46","41.77","1","2","33.33","3.2","4.05","44.13","39","39","50.00","18","18","50.00","1","0","100.00","9.09","100.00","3.03","95.65","0.987"
"2011-05-01 - Lightning 3, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","66.316666666667","76","56","57.58","52","35","59.77","37","23","61.67","2","3","40.00","3.61","2.21","62.06","39","35","52.70","17","10","62.96","2","2","50.00","18.18","71.43","5.41","86.96","0.924"
"2011-05-01 - Red Wings 1, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","70","71","49.65","47","47","50.00","37","34","52.11","2","1","66.67","2.78","2.88","49.13","36","31","53.73","14","12","53.85","0","0","-","0.00","100.00","5.41","97.06","1.025"
