"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2015-04-15 - Blackhawks 4, Predators 3","Nashville Predators","Limited ReportFull ReportSeries Report","87.816666666667","84","93","47.46","68","61","52.71","54","42","56.25","3","4","42.86","3.83","3.27","53.92","36","37","49.32","13","15","46.43","2","3","40.00","16.67","70.00","5.56","90.48","0.960"
"2015-04-15 - Flames 2, Canucks 1","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","61","54","53.04","41","41","50.00","30","30","50.00","1","2","33.33","2.17","2.11","50.66","38","31","55.07","10","14","41.67","1","0","100.00","14.29","100.00","3.33","93.33","0.967"
"2015-04-15 - Islanders 4, Capitals 1","Washington Capitals","Limited ReportFull ReportSeries Report","60","55","65","45.83","36","48","42.86","25","27","48.08","1","4","20.00","1.71","3.6","32.17","30","26","53.57","4","13","23.53","0","2","0.00","0.00","66.67","4.00","85.19","0.892"
"2015-04-15 - Senators 3, Canadiens 4","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","63","70","47.37","49","49","50.00","39","33","54.17","4","3","57.14","2.4","2.71","46.93","20","27","42.55","10","10","50.00","3","1","75.00","33.33","83.33","10.26","90.91","1.012"
"2015-04-16 - Jets 2, Ducks 4","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","67","42","61.47","53","36","59.55","33","27","55.00","4","2","66.67","2.63","1.99","56.93","31","20","60.78","12","6","66.67","2","1","66.67","28.57","75.00","12.12","92.59","1.047"
"2015-04-16 - Penguins 1, Rangers 2","New York Rangers","Limited ReportFull ReportSeries Report","60","55","51","51.89","44","29","60.27","38","25","60.32","2","1","66.67","3.25","1.81","64.26","23","18","56.10","14","9","60.87","1","1","50.00","9.09","85.71","5.26","96.00","1.013"
"2015-04-16 - Red Wings 3, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","68","28","70.83","55","20","73.33","46","14","76.67","2","3","40.00","2.4","1","70.54","21","12","63.64","9","7","56.25","1","3","25.00","12.50","57.14","4.35","78.57","0.829"
"2015-04-16 - Wild 4, Blues 2","St Louis Blues","Limited ReportFull ReportSeries Report","60","58","49","54.21","38","35","52.05","21","29","42.00","2","4","33.33","2.76","3.55","43.72","34","29","53.97","16","9","64.00","2","1","66.67","33.33","87.50","9.52","86.21","0.957"
"2015-04-17 - Blackhawks 2, Predators 6","Nashville Predators","Limited ReportFull ReportSeries Report","60","59","65","47.58","43","42","50.59","35","26","57.38","6","2","75.00","3.57","2.52","58.61","33","30","52.38","11","10","52.38","3","1","75.00","33.33","85.71","17.14","92.31","1.095"
"2015-04-17 - Flames 1, Canucks 4","Vancouver Canucks","Limited ReportFull ReportSeries Report","60","56","46","54.90","41","34","54.67","32","23","58.18","4","1","80.00","2.75","1.94","58.72","23","19","54.76","10","9","52.63","1","0","100.00","14.29","100.00","12.50","95.65","1.082"
