"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2018-04-11 - Flyers 0, Penguins 7","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","52","59","46.85","39","35","52.70","33","24","57.89","7","0","100.00","2.61","1.42","64.64","30","22","57.69","10","5","66.67","6","0","100.00","66.67","100.00","21.21","100.00","1.212"
"2018-04-11 - Kings 0, Golden Knights 1","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","73","53","57.94","51","40","56.04","28","30","48.28","1","0","100.00","2.18","1.84","54.19","23","19","54.76","7","7","50.00","0","0","-","0.00","100.00","3.57","100.00","1.036"
"2018-04-11 - Wild 2, Jets 3","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","82","47","63.57","60","31","65.93","40","20","66.67","3","2","60.00","4.2","1.45","74.31","33","19","63.46","11","7","61.11","1","2","33.33","12.50","60.00","7.50","90.00","0.975"
"2018-04-12 - Avalanche 2, Predators 5","Nashville Predators","Limited ReportFull ReportSeries Report","60","58","54","51.79","41","36","53.25","31","27","53.45","5","2","71.43","3.31","2.05","61.77","16","24","40.00","7","8","46.67","3","1","75.00","50.00","85.71","16.13","92.59","1.087"
"2018-04-12 - Blue Jackets 4, Capitals 3","Washington Capitals","Limited ReportFull ReportSeries Report","66.033333333333","63","61","50.81","43","39","52.44","30","27","52.63","3","4","42.86","1.83","1.53","54.48","23","24","48.94","6","4","60.00","0","2","0.00","0.00","33.33","10.00","85.19","0.952"
"2018-04-12 - Devils 2, Lightning 5","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","65","58","52.85","49","43","53.26","32","31","50.79","5","2","71.43","3.17","1.82","63.45","29","18","61.70","7","4","63.64","3","1","75.00","42.86","75.00","15.63","93.55","1.092"
"2018-04-12 - Maple Leafs 1, Bruins 5","Boston Bruins","Limited ReportFull ReportSeries Report","60","73","52","58.40","58","44","56.86","40","27","59.70","5","1","83.33","3.09","2.64","53.96","34","20","62.96","8","11","42.11","3","1","75.00","50.00","88.89","12.50","96.30","1.088"
"2018-04-12 - Sharks 3, Ducks 0","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","65","70","48.15","45","57","44.12","25","34","42.37","0","3","0.00","3.02","3.86","43.90","29","39","42.65","13","19","40.63","0","2","0.00","0.00","81.82","0.00","91.18","0.912"
"2018-04-13 - Flyers 5, Penguins 1","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","59","30","66.29","48","26","64.86","35","20","63.64","1","5","16.67","2.46","2.03","54.81","25","14","64.10","10","2","83.33","1","0","100.00","11.11","100.00","2.86","75.00","0.779"
"2018-04-13 - Kings 1, Golden Knights 2","Vegas Golden Knights","Limited ReportFull ReportSeries Report","95.383333333333","111","68","62.01","76","44","63.33","56","30","65.12","2","1","66.67","4.27","1.67","71.88","52","20","72.22","18","7","72.00","1","0","100.00","6.25","100.00","3.57","96.67","1.002"
"2018-04-13 - Wild 1, Jets 4","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","70","40","63.64","54","26","67.50","44","17","72.13","4","1","80.00","2.67","1.76","60.25","32","18","64.00","9","10","47.37","2","1","66.67","28.57","83.33","9.09","94.12","1.032"
"2018-04-14 - Avalanche 4, Predators 5","Nashville Predators","Limited ReportFull ReportSeries Report","60","66","50","56.90","43","35","55.13","33","30","52.38","5","4","55.56","4.14","2.15","65.82","29","21","58.00","10","7","58.82","3","2","60.00","33.33","66.67","15.15","86.67","1.018"
"2018-04-14 - Devils 3, Lightning 5","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","55","64","46.22","44","54","44.90","26","44","37.14","5","3","62.50","2.79","2.82","49.71","31","29","51.67","10","9","52.63","2","0","100.00","28.57","100.00","19.23","93.18","1.124"
"2018-04-14 - Maple Leafs 3, Bruins 7","Boston Bruins","Limited ReportFull ReportSeries Report","60","39","63","38.24","35","48","42.17","28","33","45.90","7","3","70.00","2.43","2.91","45.51","24","33","42.11","15","8","65.22","6","3","66.67","60.00","62.50","25.00","90.91","1.159"
"2018-04-14 - Sharks 3, Ducks 2","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","61","68","47.29","45","53","45.92","30","35","46.15","2","3","40.00","2.16","3.85","35.98","29","38","43.28","12","18","40.00","0","3","0.00","0.00","80.00","6.67","91.43","0.981"
"2018-04-15 - Blue Jackets 5, Capitals 4","Washington Capitals","Limited ReportFull ReportSeries Report","72.366666666667","103","55","65.19","78","41","65.55","58","30","65.91","4","5","44.44","4.5","1.96","69.63","43","24","64.18","20","8","71.43","0","2","0.00","0.00","66.67","6.90","83.33","0.902"
"2018-04-15 - Golden Knights 3, Kings 2","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","69","65","51.49","51","46","52.58","39","26","60.00","2","3","40.00","2.62","3.16","45.39","26","34","43.33","7","15","31.82","1","2","33.33","20.00","71.43","5.13","88.46","0.936"
"2018-04-15 - Jets 2, Wild 6","Minnesota Wild","Limited ReportFull ReportSeries Report","60","45","60","42.86","37","40","48.05","29","31","48.33","6","2","75.00","2.47","1.84","57.36","21","19","52.50","9","7","56.25","3","0","100.00","50.00","100.00","20.69","93.55","1.142"
"2018-04-15 - Penguins 5, Flyers 1","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","55","55","50.00","38","39","49.35","27","26","50.94","1","5","16.67","2.45","2.79","46.74","27","24","52.94","16","9","64.00","0","1","0.00","0.00","83.33","3.70","80.77","0.845"
"2018-04-16 - Bruins 2, Maple Leafs 4","Toronto Maple Leafs","Limited ReportFull ReportSeries Report","60","66","79","45.52","44","60","42.31","30","42","41.67","4","2","66.67","3","3.28","47.77","40","37","51.95","13","10","56.52","3","0","100.00","27.27","100.00","13.33","95.24","1.086"
"2018-04-16 - Ducks 1, Sharks 8","San Jose Sharks","Limited ReportFull ReportSeries Report","60","66","75","46.81","50","57","46.73","36","46","43.90","8","1","88.89","3.97","2.89","57.91","33","32","50.77","17","9","65.38","7","0","100.00","50.00","100.00","22.22","97.83","1.200"
"2018-04-16 - Lightning 2, Devils 5","New Jersey Devils","Limited ReportFull ReportSeries Report","60","58","53","52.25","50","44","53.19","41","36","53.25","5","2","71.43","3.6","3.24","52.62","18","25","41.86","7","16","30.43","0","1","0.00","0.00","93.33","12.20","94.44","1.066"
"2018-04-16 - Predators 3, Avalanche 5","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","58","74","43.94","42","49","46.15","34","32","51.52","5","3","62.50","2.87","2.31","55.38","30","26","53.57","16","7","69.57","5","1","83.33","35.71","75.00","14.71","90.63","1.053"
"2018-04-17 - Capitals 3, Blue Jackets 2","Columbus Blue Jackets","Limited ReportFull ReportSeries Report","89","75","90","45.45","59","62","48.76","35","45","43.75","2","3","40.00","2.79","3.82","42.14","40","46","46.51","11","15","42.31","0","2","0.00","0.00","84.62","5.71","93.33","0.990"
"2018-04-17 - Golden Knights 1, Kings 0","Los Angeles Kings","Limited ReportFull ReportSeries Report","60","67","41","62.04","47","34","58.02","31","21","59.62","0","1","0.00","2.09","1.56","57.25","25","19","56.82","10","7","58.82","0","0","-","0.00","100.00","0.00","95.24","0.952"
"2018-04-17 - Jets 2, Wild 0","Minnesota Wild","Limited ReportFull ReportSeries Report","60","56","69","44.80","42","46","47.73","30","28","51.72","0","2","0.00","1.55","3.74","29.22","17","23","42.50","4","12","25.00","0","2","0.00","0.00","66.67","0.00","92.86","0.929"
"2018-04-18 - Ducks 1, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","54","61","46.96","35","42","45.45","24","31","43.64","2","1","66.67","2.58","2.89","47.13","23","20","53.49","9","12","42.86","2","1","66.67","28.57","90.91","8.33","96.77","1.051"
"2018-04-18 - Lightning 3, Devils 1","New Jersey Devils","Limited ReportFull ReportSeries Report","60","49","62","44.14","39","52","42.86","28","37","43.08","1","3","25.00","2.46","3.97","38.33","22","27","44.90","10","8","55.56","0","1","0.00","0.00","87.50","3.57","91.89","0.955"
"2018-04-18 - Penguins 5, Flyers 0","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","52","51","50.49","36","39","48.00","26","30","46.43","0","5","0.00","2.26","2.26","50.07","25","31","44.64","11","6","64.71","0","1","0.00","0.00","66.67","0.00","83.33","0.833"
"2018-04-18 - Predators 3, Avalanche 2","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","62","62","50.00","45","48","48.39","33","34","49.25","2","3","40.00","2.61","2.85","47.83","28","28","50.00","8","11","42.11","2","1","66.67","40.00","88.89","6.06","91.18","0.972"
"2018-04-19 - Bruins 3, Maple Leafs 1","Toronto Maple Leafs","Limited ReportFull ReportSeries Report","60","77","40","65.81","50","31","61.73","32","21","60.38","1","3","25.00","2.63","2.2","54.40","39","22","63.93","10","7","58.82","0","0","-","0.00","100.00","3.13","85.71","0.888"
"2018-04-19 - Capitals 4, Blue Jackets 1","Columbus Blue Jackets","Limited ReportFull ReportSeries Report","60","57","56","50.44","37","42","46.84","24","33","42.11","1","4","20.00","2.47","3.82","39.28","26","30","46.43","11","16","40.74","1","1","50.00","10.00","90.91","4.17","87.88","0.920"
"2018-04-20 - Avalanche 2, Predators 1","Nashville Predators","Limited ReportFull ReportSeries Report","60","68","53","56.20","54","35","60.67","45","26","63.38","1","2","33.33","3.6","1.97","64.68","30","22","57.69","15","7","68.18","1","2","33.33","7.69","60.00","2.22","92.31","0.945"
"2018-04-20 - Flyers 4, Penguins 2","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","60","48","55.56","46","37","55.42","32","25","56.14","2","4","33.33","2.62","2.91","47.32","33","20","62.26","13","8","61.90","1","2","33.33","10.00","66.67","6.25","84.00","0.903"
"2018-04-20 - Wild 0, Jets 5","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","54","63","46.15","44","41","51.76","26","30","46.43","5","0","100.00","2.53","2.47","50.65","26","27","49.06","13","13","50.00","2","0","100.00","22.22","100.00","19.23","100.00","1.192"
"2018-04-21 - Blue Jackets 3, Capitals 4","Washington Capitals","Limited ReportFull ReportSeries Report","71.883333333333","68","85","44.44","40","65","38.10","29","42","40.85","4","3","57.14","2.85","3.82","42.70","28","39","41.79","15","17","46.88","2","2","50.00","18.18","84.62","13.79","92.86","1.067"
"2018-04-21 - Devils 1, Lightning 3","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","59","47","55.66","51","34","60.00","38","27","58.46","3","1","75.00","3.09","1.71","64.43","26","18","59.09","7","10","41.18","0","1","0.00","0.00","88.89","7.89","96.30","1.042"
"2018-04-21 - Maple Leafs 4, Bruins 3","Boston Bruins","Limited ReportFull ReportSeries Report","60","90","39","69.77","68","31","68.69","45","21","68.18","3","4","42.86","4.88","1.48","76.79","50","18","73.53","14","8","63.64","2","3","40.00","22.22","62.50","6.67","80.95","0.876"
"2018-04-22 - Penguins 8, Flyers 5","Philadelphia Flyers","Limited ReportFull ReportSeries Report","60","59","51","53.64","37","37","50.00","26","28","48.15","5","8","38.46","2.77","2.6","51.61","30","24","55.56","11","8","57.89","3","4","42.86","42.86","42.86","19.23","71.43","0.907"
"2018-04-22 - Predators 5, Avalanche 0","Colorado Avalanche","Limited ReportFull ReportSeries Report","60","42","67","38.53","29","54","34.94","22","37","37.29","0","5","0.00","0.93","2.73","25.39","13","24","35.14","3","9","25.00","0","2","0.00","0.00","71.43","0.00","86.49","0.865"
"2018-04-23 - Bruins 1, Maple Leafs 3","Toronto Maple Leafs","Limited ReportFull ReportSeries Report","60","43","72","37.39","37","49","43.02","30","33","47.62","3","1","75.00","1.96","2.24","46.69","19","27","41.30","10","7","58.82","1","0","100.00","10.00","100.00","10.00","96.97","1.070"
"2018-04-23 - Capitals 6, Blue Jackets 3","Columbus Blue Jackets","Limited ReportFull ReportSeries Report","60","75","42","64.10","52","33","61.18","38","28","57.58","3","6","33.33","2.82","2.71","51.03","28","20","58.33","11","9","55.00","1","2","33.33","12.50","75.00","7.89","78.57","0.865"
"2018-04-25 - Maple Leafs 4, Bruins 7","Boston Bruins","Limited ReportFull ReportSeries Report","60","50","49","50.51","40","40","50.00","36","24","60.00","7","4","63.64","2.72","2.11","56.32","25","23","52.08","9","8","52.94","3","3","50.00","37.50","50.00","19.44","83.33","1.028"
"2018-04-26 - Penguins 3, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","72","50","59.02","50","34","59.52","34","25","57.63","2","3","40.00","2.42","1.63","59.81","33","23","58.93","10","8","55.56","1","0","100.00","16.67","100.00","5.88","88.00","0.939"
"2018-04-26 - Sharks 0, Golden Knights 7","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","68","67","50.37","55","41","57.29","34","33","50.75","7","0","100.00","3.87","3.59","51.88","34","31","52.31","18","18","50.00","3","0","100.00","21.43","100.00","20.59","100.00","1.206"
"2018-04-27 - Jets 4, Predators 1","Nashville Predators","Limited ReportFull ReportSeries Report","60","87","39","69.05","61","32","65.59","48","19","71.64","1","4","20.00","3.25","2.98","52.13","36","20","64.29","14","10","58.33","1","3","25.00","10.00","50.00","2.08","78.95","0.810"
"2018-04-28 - Bruins 6, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","78","37","67.83","57","31","64.77","36","24","60.00","2","6","25.00","2.69","1.84","59.37","33","18","64.71","6","4","60.00","0","2","0.00","0.00","50.00","5.56","75.00","0.806"
"2018-04-28 - Sharks 4, Golden Knights 3","Vegas Golden Knights","Limited ReportFull ReportSeries Report","85.216666666667","81","92","46.82","45","66","40.54","29","47","38.16","3","4","42.86","2.18","3.83","36.33","32","38","45.71","12","15","44.44","0","0","-","0.00","100.00","10.34","91.49","1.018"
"2018-04-29 - Jets 4, Predators 5","Nashville Predators","Limited ReportFull ReportSeries Report","85.616666666667","95","93","50.53","65","67","49.24","41","50","45.05","5","4","55.56","3.83","3.51","52.15","51","40","56.04","17","14","54.84","3","3","50.00","25.00","70.00","12.20","92.00","1.042"
"2018-04-29 - Penguins 1, Capitals 4","Washington Capitals","Limited ReportFull ReportSeries Report","60","69","75","47.92","45","44","50.56","32","33","49.23","4","1","80.00","3.78","2.63","58.98","35","36","49.30","13","18","41.94","3","0","100.00","37.50","100.00","12.50","96.97","1.095"
"2018-04-30 - Bruins 2, Lightning 4","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","54","38","58.70","41","30","57.75","31","20","60.78","4","2","66.67","2.43","1.84","56.96","25","20","55.56","8","7","53.33","1","0","100.00","20.00","100.00","12.90","90.00","1.029"
"2018-04-30 - Golden Knights 4, Sharks 3","San Jose Sharks","Limited ReportFull ReportSeries Report","68.283333333333","66","75","46.81","49","52","48.51","42","33","56.00","3","4","42.86","2.7","2.64","50.53","29","30","49.15","11","13","45.83","2","1","66.67","20.00","87.50","7.14","87.88","0.950"
"2018-05-01 - Capitals 4, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","48","48","50.00","36","36","50.00","22","22","50.00","3","4","42.86","1.9","2.42","43.99","20","29","40.82","5","12","29.41","2","2","50.00","40.00","50.00","13.64","81.82","0.955"
"2018-05-01 - Predators 4, Jets 7","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","70","49","58.82","58","38","60.42","45","30","60.00","7","4","63.64","4.06","2.07","66.19","35","20","63.64","15","12","55.56","1","1","50.00","9.09","90.91","15.56","86.67","1.022"
"2018-05-02 - Golden Knights 0, Sharks 4","San Jose Sharks","Limited ReportFull ReportSeries Report","60","59","62","48.76","46","43","51.69","34","34","50.00","4","0","100.00","3.58","1.94","64.81","26","23","53.06","16","9","64.00","3","0","100.00","23.08","100.00","11.76","100.00","1.118"
"2018-05-02 - Lightning 4, Bruins 1","Boston Bruins","Limited ReportFull ReportSeries Report","60","65","59","52.42","46","47","49.46","29","37","43.94","1","4","20.00","2.25","3.33","40.30","28","30","48.28","8","16","33.33","1","3","25.00","25.00","78.57","3.45","89.19","0.926"
"2018-05-03 - Capitals 1, Penguins 3","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","52","48","52.00","39","35","52.70","24","21","53.33","3","1","75.00","3.96","1.79","68.86","28","22","56.00","14","7","66.67","2","0","100.00","18.18","100.00","12.50","95.24","1.077"
"2018-05-03 - Predators 2, Jets 1","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","58","55","51.33","49","49","50.00","33","29","53.23","1","2","33.33","3.16","2.14","59.56","32","29","52.46","14","9","60.87","0","1","0.00","0.00","83.33","3.03","93.10","0.961"
"2018-05-04 - Lightning 4, Bruins 3","Boston Bruins","Limited ReportFull ReportSeries Report","63.3","68","62","52.31","44","43","50.57","32","28","53.33","3","4","42.86","2.98","2.52","54.21","29","25","53.70","13","10","56.52","2","2","50.00","18.18","71.43","9.38","85.71","0.951"
"2018-05-04 - Sharks 3, Golden Knights 5","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","71","63","52.99","53","39","57.61","39","30","56.52","5","3","62.50","4.98","2.79","64.09","36","26","58.06","14","16","46.67","4","2","66.67","33.33","84.62","12.82","90.00","1.028"
"2018-05-05 - Jets 6, Predators 2","Nashville Predators","Limited ReportFull ReportSeries Report","60","68","62","52.31","52","42","55.32","40","32","55.56","2","6","25.00","2.79","3.07","47.64","32","27","54.24","10","10","50.00","2","4","33.33","28.57","60.00","5.00","81.25","0.863"
"2018-05-05 - Penguins 3, Capitals 6","Washington Capitals","Limited ReportFull ReportSeries Report","60","59","75","44.03","42","63","40.00","32","39","45.07","6","3","66.67","3","4.68","39.07","29","36","44.62","7","24","22.58","2","2","50.00","40.00","86.67","18.75","92.31","1.111"
"2018-05-06 - Bruins 1, Lightning 3","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","49","53","48.04","37","36","50.68","22","28","44.00","3","1","75.00","2.57","1.68","60.47","21","21","50.00","7","7","50.00","1","0","100.00","16.67","100.00","13.64","96.43","1.101"
"2018-05-06 - Golden Knights 3, Sharks 0","San Jose Sharks","Limited ReportFull ReportSeries Report","60","68","55","55.28","46","41","52.87","28","33","45.90","0","3","0.00","3.25","3.79","46.15","32","29","52.46","17","17","50.00","0","2","0.00","0.00","84.62","0.00","90.91","0.909"
"2018-05-07 - Capitals 2, Penguins 1","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","65.45","52","62","45.61","38","41","48.10","22","30","42.31","1","2","33.33","2.09","1.84","53.13","22","28","44.00","10","9","52.63","0","2","0.00","0.00","71.43","4.55","93.33","0.979"
"2018-05-07 - Predators 4, Jets 0","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","72","48","60.00","49","40","55.06","34","29","53.97","0","4","0.00","3.16","3.19","49.77","34","26","56.67","13","11","54.17","0","4","0.00","0.00","50.00","0.00","86.21","0.862"
"2018-05-10 - Jets 5, Predators 1","Nashville Predators","Limited ReportFull ReportSeries Report","60","70","51","57.85","50","34","59.52","37","24","60.66","1","5","16.67","2.62","2.61","50.02","31","21","59.62","10","8","55.56","0","3","0.00","0.00","57.14","2.70","79.17","0.819"
"2018-05-11 - Capitals 4, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","52","58","47.27","33","48","40.74","21","32","39.62","2","4","33.33","1.45","2.71","34.85","22","30","42.31","5","13","27.78","0","2","0.00","0.00","80.00","9.52","87.50","0.970"
"2018-05-12 - Golden Knights 2, Jets 4","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","45","57","44.12","35","35","50.00","26","21","55.32","4","2","66.67","1.55","1.76","46.93","17","22","43.59","8","8","50.00","2","1","66.67","33.33","80.00","15.38","90.48","1.059"
"2018-05-13 - Capitals 6, Lightning 2","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","60","60","58","50.85","44","48","47.83","35","37","48.61","2","6","25.00","2.4","2.42","49.75","30","34","46.88","8","8","50.00","1","1","50.00","25.00","85.71","5.71","83.78","0.895"
"2018-05-14 - Golden Knights 3, Jets 1","Winnipeg Jets","Limited ReportFull ReportSeries Report","60","69","57","54.76","48","42","53.33","31","28","52.54","1","3","25.00","2.9","2.72","51.56","30","30","50.00","16","9","64.00","0","2","0.00","0.00","66.67","3.23","89.29","0.925"
"2018-05-15 - Lightning 4, Capitals 2","Washington Capitals","Limited ReportFull ReportSeries Report","60","69","47","59.48","51","40","56.04","38","23","62.30","2","4","33.33","2.6","2.43","51.64","26","21","55.32","11","9","55.00","0","1","0.00","0.00","80.00","5.26","82.61","0.879"
"2018-05-16 - Jets 2, Golden Knights 4","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","56","68","45.16","38","50","43.18","30","35","46.15","4","2","66.67","3.76","3.49","51.86","23","29","44.23","10","17","37.04","4","2","66.67","44.44","83.33","13.33","94.29","1.076"
