"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2020-08-07 - Maple Leafs 4, Blue Jackets 3","Columbus Blue Jackets","Limited ReportFull ReportSeries Report","73.166666666667","74","83","47.13","59","63","48.36","39","53","42.39","3","4","42.86","4.06","2.96","57.77","33","38","46.48","5","8","38.46","1","1","50.00","20.00","87.50","7.69","92.45","1.001"
"2020-08-07 - Oilers 2, Blackhawks 3","Chicago Blackhawks","Limited ReportFull ReportSeries Report","60","47","73","39.17","37","52","41.57","29","45","39.19","3","2","60.00","2.36","4.49","34.42","25","45","35.71","13","23","36.11","2","1","66.67","18.18","94.44","10.34","95.56","1.059"
"2020-08-07 - Penguins 0, Canadiens 2","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","55","47","53.92","37","31","54.41","22","22","50.00","2","0","100.00","2.29","1.31","63.69","16","13","55.17","7","3","70.00","1","0","100.00","33.33","100.00","9.09","100.00","1.091"
"2020-08-07 - Predators 3, Coyotes 4","Arizona Coyotes","Limited ReportFull ReportSeries Report","65.45","66","87","43.14","44","67","39.64","34","52","39.53","4","3","57.14","2.02","3.11","39.36","32","31","50.79","11","16","40.74","1","2","33.33","14.29","81.82","11.76","94.23","1.060"
"2020-08-08 - Flyers 4, Lightning 1","Tampa Bay Lightning","Limited ReportFull Report","60","62","47","56.88","38","35","52.05","24","30","44.44","1","4","20.00","2.07","3.3","38.51","27","21","56.25","4","11","26.67","1","3","25.00","33.33","66.67","4.17","86.67","0.908"
"2020-08-08 - Golden Knights 4, Avalanche 3","Colorado Avalanche","Limited ReportFull Report","64.733333333333","65","49","57.02","42","36","53.85","35","26","57.38","3","4","42.86","3.68","2.04","64.33","36","23","61.02","15","11","57.69","3","3","50.00","21.43","62.50","8.57","84.62","0.932"
"2020-08-09 - Blue Jackets 3, Maple Leafs 0","Toronto Maple Leafs","Limited ReportFull ReportSeries Report","60","57","45","55.88","43","29","59.72","33","22","60.00","0","3","0.00","1.88","2.43","43.55","26","24","52.00","9","9","50.00","0","1","0.00","0.00","83.33","0.00","86.36","0.864"
"2020-08-09 - Bruins 1, Capitals 2","Washington Capitals","Limited ReportFull Report","60","51","68","42.86","37","47","44.05","25","31","44.64","2","1","66.67","2.19","2.56","46.12","25","36","40.98","5","14","26.32","1","1","50.00","25.00","90.91","8.00","96.77","1.048"
"2020-08-11 - Blackhawks 1, Golden Knights 4","Vegas Golden Knights","Limited ReportFull ReportSeries Report","60","58","50","53.70","46","32","58.97","34","20","62.96","4","1","80.00","2.29","2.17","51.32","21","27","43.75","10","9","52.63","2","1","66.67","25.00","85.71","11.76","95.00","1.068"
"2020-08-11 - Blue Jackets 2, Lightning 3","Tampa Bay Lightning","Limited ReportFull ReportSeries Report","150.45","188","111","62.88","126","81","60.87","88","63","58.28","3","2","60.00","7.03","3.57","66.34","88","43","67.18","26","12","68.42","2","1","66.67","10.53","90.91","3.41","96.83","1.002"
