"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2008-04-09 - Avalanche 3, Wild 2","Minnesota Wild","Limited ReportFull ReportSeries Report","71.183333333333","63","45","58.33","46","34","57.50","30","22","57.69","2","3","40.00","2.19","2.37","48.08","20","25","44.44","7","8","46.67","1","3","25.00","25.00","50.00","6.67","86.36","0.930"
"2008-04-09 - Flames 3, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","66","45","59.46","58","36","61.70","39","23","62.90","2","3","40.00","4.48","2.38","65.31","35","21","62.50","16","7","69.57","1","3","25.00","7.69","57.14","5.13","86.96","0.921"
"2008-04-09 - Rangers 4, Devils 1","New Jersey Devils","Limited ReportFull ReportSeries Report","60","58","44","56.86","42","35","54.55","27","28","49.09","1","4","20.00","2.53","2.84","47.13","22","18","55.00","10","5","66.67","0","2","0.00","0.00","60.00","3.70","85.71","0.894"
"2008-04-09 - Senators 0, Penguins 4","Pittsburgh Penguins","Limited ReportFull ReportSeries Report","60","59","61","49.17","51","47","52.04","35","26","57.38","4","0","100.00","3.76","2.83","57.01","38","21","64.41","13","9","59.09","3","0","100.00","27.27","100.00","11.43","100.00","1.114"
"2008-04-10 - Bruins 1, Canadiens 4","Montreal Canadiens","Limited ReportFull ReportSeries Report","60","69","60","53.49","49","38","56.32","32","18","64.00","4","1","80.00","3.49","2.03","63.18","29","23","55.77","16","8","66.67","2","1","66.67","16.67","66.67","12.50","94.44","1.069"
"2008-04-10 - Flames 0, Sharks 2","San Jose Sharks","Limited ReportFull ReportSeries Report","60","72","40","64.29","58","26","69.05","43","21","67.19","2","0","100.00","4.18","1.53","73.25","38","19","66.67","18","11","62.07","1","0","100.00","7.69","100.00","4.65","100.00","1.047"
"2008-04-10 - Predators 1, Red Wings 3","Detroit Red Wings","Limited ReportFull ReportSeries Report","60","70","32","68.63","62","25","71.26","40","20","66.67","3","1","75.00","3.5","1.18","74.72","34","16","68.00","14","5","73.68","1","0","100.00","10.00","100.00","7.50","95.00","1.025"
"2008-04-10 - Stars 4, Ducks 0","Anaheim Ducks","Limited ReportFull ReportSeries Report","60","39","51","43.33","32","47","40.51","23","37","38.33","0","4","0.00","1.92","2.94","39.54","19","24","44.19","6","11","35.29","0","3","0.00","0.00","70.00","0.00","89.19","0.892"
"2008-04-11 - Avalanche 2, Wild 3","Minnesota Wild","Limited ReportFull ReportSeries Report","61.233333333333","65","42","60.75","42","35","54.55","31","26","54.39","3","2","60.00","2.53","1.93","56.71","19","26","42.22","10","8","55.56","0","1","0.00","0.00","85.71","9.68","92.31","1.020"
"2008-04-11 - Flyers 4, Capitals 5","Washington Capitals","Limited ReportFull ReportSeries Report","60","56","50","52.83","38","36","51.35","27","22","55.10","5","4","55.56","2.17","1.78","54.89","26","19","57.78","8","5","61.54","4","0","100.00","57.14","100.00","18.52","81.82","1.003"
