"Game","Team","","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","SH%","SV%","PDO"
"2018-10-03 - Bruins 0, Capitals 7","Washington Capitals","Limited ReportFull Report","60","64","53","54.70","52","38","57.78","37","25","59.68","7","0","100.00","3.14","1.33","70.33","28","16","63.64","7","3","70.00","3","0","100.00","42.86","100.00","18.92","100.00","1.189"
"2018-10-03 - Canadiens 2, Maple Leafs 3","Toronto Maple Leafs","Limited ReportFull Report","61.016666666667","60","76","44.12","44","52","45.83","26","36","41.94","3","2","60.00","3.07","3.84","44.43","40","42","48.78","14","17","45.16","1","1","50.00","12.50","92.31","11.54","94.44","1.060"
"2018-10-03 - Ducks 5, Sharks 2","San Jose Sharks","Limited ReportFull Report","60","71","34","67.62","55","21","72.37","33","15","68.75","2","5","28.57","3.13","1.98","61.27","35","15","70.00","15","5","75.00","0","2","0.00","0.00","50.00","6.06","66.67","0.727"
"2018-10-03 - Flames 2, Canucks 5","Vancouver Canucks","Limited ReportFull Report","60","34","73","31.78","28","55","33.73","23","35","39.66","5","2","71.43","2.81","3.81","42.40","23","41","35.94","13","20","39.39","4","1","80.00","33.33","92.31","21.74","94.29","1.160"
"2018-10-04 - Blackhawks 4, Senators 3","Ottawa Senators","Limited ReportFull Report","60.633333333333","56","77","42.11","40","59","40.40","25","43","36.76","3","4","42.86","2.48","2.88","46.26","31","32","49.21","13","11","54.17","2","0","100.00","28.57","100.00","12.00","90.70","1.027"
"2018-10-04 - Blue Jackets 3, Red Wings 2","Detroit Red Wings","Limited ReportFull Report","62.183333333333","45","76","37.19","28","56","33.33","20","39","33.90","2","3","40.00","1.49","3.5","29.80","22","32","40.74","8","17","32.00","2","1","66.67","33.33","92.31","10.00","92.31","1.023"
"2018-10-04 - Bruins 4, Sabres 0","Buffalo Sabres","Limited ReportFull Report","60","62","45","57.94","49","37","56.98","32","26","55.17","0","4","0.00","2.3","3.59","39.05","24","17","58.54","6","7","46.15","0","2","0.00","0.00","66.67","0.00","84.62","0.846"
"2018-10-04 - Capitals 6, Penguins 7","Pittsburgh Penguins","Limited ReportFull Report","61.333333333333","75","56","57.25","57","44","56.44","41","36","53.25","7","6","53.85","4.52","2.63","63.20","44","31","58.67","27","8","77.14","2","3","40.00","11.76","62.50","17.07","83.33","1.004"
"2018-10-04 - Coyotes 0, Stars 3","Dallas Stars","Limited ReportFull Report","60","51","54","48.57","37","39","48.68","25","30","45.45","3","0","100.00","2.37","2.02","53.94","23","26","46.94","9","9","50.00","2","0","100.00","28.57","100.00","12.00","100.00","1.120"
"2018-10-04 - Flyers 5, Golden Knights 2","Vegas Golden Knights","Limited ReportFull Report","60","52","41","55.91","40","31","56.34","25","25","50.00","2","5","28.57","3.53","2.34","60.16","33","22","60.00","16","12","57.14","1","3","25.00","8.33","70.00","8.00","80.00","0.880"
"2018-10-04 - Islanders 2, Hurricanes 1","Carolina Hurricanes","Limited ReportFull Report","60.716666666667","89","39","69.53","67","31","68.37","46","20","69.70","1","2","33.33","3.67","1.88","66.15","43","24","64.18","14","8","63.64","1","0","100.00","11.11","100.00","2.17","90.00","0.922"
"2018-10-04 - Jets 5, Blues 1","St Louis Blues","Limited ReportFull Report","60","69","49","58.47","58","36","61.70","42","25","62.69","1","5","16.67","3.93","2.47","61.40","47","29","61.84","15","15","50.00","1","4","20.00","8.33","60.00","2.38","80.00","0.824"
"2018-10-04 - Predators 3, Rangers 2","New York Rangers","Limited ReportFull Report","60","58","61","48.74","47","41","53.41","36","33","52.17","2","3","40.00","2.87","2.48","53.64","21","31","40.38","15","11","57.69","2","0","100.00","16.67","100.00","5.56","90.91","0.965"
"2018-10-04 - Wild 1, Avalanche 4","Colorado Avalanche","Limited ReportFull Report","60","65","49","57.02","52","32","61.90","40","21","65.57","4","1","80.00","3.94","2.7","59.34","33","25","56.90","8","14","36.36","2","1","66.67","33.33","90.00","10.00","95.24","1.052"
"2018-10-05 - Hurricanes 3, Blue Jackets 1","Columbus Blue Jackets","Limited ReportFull Report","60","54","60","47.37","44","46","48.89","32","35","47.76","1","3","25.00","2.95","2.63","52.89","27","22","55.10","13","11","54.17","1","1","50.00","10.00","90.00","3.13","91.43","0.946"
"2018-10-05 - Sharks 3, Kings 2","Los Angeles Kings","Limited ReportFull Report","62.9","53","68","43.80","38","56","40.43","21","33","38.89","2","3","40.00","3.5","3.02","53.66","32","33","49.23","16","12","57.14","2","2","50.00","20.00","77.78","9.52","90.91","1.004"
"2018-10-06 - Blackhawks 5, Blues 4","St Louis Blues","Limited ReportFull Report","62.333333333333","56","50","52.83","43","39","52.44","30","30","50.00","4","5","44.44","2.37","2.4","49.68","26","26","50.00","9","8","52.94","1","3","25.00","16.67","62.50","13.33","83.33","0.967"
