,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
2099,St Louis Blues,Pittsburgh Penguins,3,18,1,4,1,1
2100,Nashville Predators,Detroit Red Wings,20,27,0,1,1,1
2101,Buffalo Sabres,Ottawa Senators,17,4,4,0,1,1
2102,Vancouver Canucks,Minnesota Wild,0,19,3,6,1,1
2103,New York Rangers,Calgary Flames,14,12,4,3,1,1
2104,Washington Capitals,Los Angeles Kings,2,26,5,0,1,1
2105,Montreal Canadiens,Edmonton Oilers,9,1,0,0,1,1
2106,Philadelphia Flyers,St Louis Blues,22,3,0,2,1,1
2107,New York Islanders,Toronto Maple Leafs,23,5,6,5,1,1
2108,New Jersey Devils,Buffalo Sabres,24,17,2,1,1,1
2109,Detroit Red Wings,Columbus Blue Jackets,27,25,2,3,1,1
2110,Ottawa Senators,St Louis Blues,4,3,0,6,1,1
2111,Colorado Avalanche,Montreal Canadiens,13,9,4,0,1,1
2112,Nashville Predators,Vancouver Canucks,20,0,4,2,1,1
2113,New York Rangers,Anaheim Ducks,14,11,4,1,1,1
2114,Pittsburgh Penguins,Calgary Flames,18,12,2,2,1,1
2115,Washington Capitals,Carolina Hurricanes,2,10,5,0,1,1
2116,Tampa Bay Lightning,Los Angeles Kings,16,26,5,0,1,1
2117,Buffalo Sabres,San Jose Sharks,17,6,5,4,1,1
2118,Toronto Maple Leafs,Dallas Stars,5,8,3,1,1,1
2119,Winnipeg Jets,Minnesota Wild,28,19,2,4,1,1
2120,Minnesota Wild,Chicago Blackhawks,19,21,3,4,1,1
2121,Toronto Maple Leafs,St Louis Blues,5,3,1,2,1,1
2122,Arizona Coyotes,Montreal Canadiens,29,9,4,5,1,1
2123,Columbus Blue Jackets,Vancouver Canucks,25,0,0,3,1,1
2124,Buffalo Sabres,Anaheim Ducks,17,11,2,5,1,1
2125,Philadelphia Flyers,New York Islanders,22,23,1,3,1,1
2126,Florida Panthers,Los Angeles Kings,15,26,3,6,1,1
2127,Colorado Avalanche,Pittsburgh Penguins,13,18,1,4,1,1
