,home_team,away_team,home_team_id,away_team_id,home_points,away_points,regular_season,season
1787,Toronto Maple Leafs,Pittsburgh Penguins,5,18,2,1,1,1
1788,Nashville Predators,New York Rangers,20,14,1,1,1,1
1789,Carolina Hurricanes,Buffalo Sabres,10,17,1,1,1,1
1790,Winnipeg Jets,Colorado Avalanche,28,13,4,1,1,1
1791,Vancouver Canucks,Columbus Blue Jackets,0,25,3,4,1,1
1792,New York Rangers,New Jersey Devils,14,24,2,2,1,1
1793,Boston Bruins,Los Angeles Kings,7,26,1,0,1,1
1794,New York Islanders,Ottawa Senators,23,4,2,6,1,1
1795,Chicago Blackhawks,San Jose Sharks,21,6,4,1,1,1
1796,Toronto Maple Leafs,Anaheim Ducks,5,11,2,3,1,1
1797,Arizona Coyotes,Calgary Flames,29,12,2,4,1,1
1798,St Louis Blues,Edmonton Oilers,3,1,2,3,1,1
1799,Philadelphia Flyers,Nashville Predators,22,20,1,1,1,1
1800,Minnesota Wild,Colorado Avalanche,19,13,2,0,1,1
1801,Dallas Stars,St Louis Blues,8,3,2,3,1,1
1802,Montreal Canadiens,Anaheim Ducks,9,11,5,1,1,1
1803,San Jose Sharks,Calgary Flames,6,12,4,1,1,1
1804,Boston Bruins,New York Islanders,7,23,2,4,1,1
1805,Vancouver Canucks,Winnipeg Jets,0,28,4,1,1,1
1806,Columbus Blue Jackets,Los Angeles Kings,25,26,2,2,1,1
1807,New Jersey Devils,Nashville Predators,24,20,1,5,1,1
1808,Pittsburgh Penguins,New York Rangers,18,14,7,2,1,1
1809,Tampa Bay Lightning,Detroit Red Wings,16,27,4,1,1,1
1810,Florida Panthers,Buffalo Sabres,15,17,3,3,1,1
1811,Chicago Blackhawks,Ottawa Senators,21,4,3,4,1,1
1812,Philadelphia Flyers,Washington Capitals,22,2,2,2,1,1
1813,Arizona Coyotes,Edmonton Oilers,29,1,2,3,1,1
1814,Tampa Bay Lightning,St Louis Blues,16,3,5,2,1,1
1815,Florida Panthers,Boston Bruins,15,7,1,3,1,1
1816,Ottawa Senators,Anaheim Ducks,4,11,2,1,1,1
1817,New Jersey Devils,Philadelphia Flyers,24,22,4,0,1,1
1818,Buffalo Sabres,Carolina Hurricanes,17,10,1,3,1,1
1819,Vancouver Canucks,Winnipeg Jets,0,28,1,4,1,1
1820,Nashville Predators,Los Angeles Kings,20,26,0,4,1,1
1821,Colorado Avalanche,Toronto Maple Leafs,13,5,0,6,1,1
1822,Columbus Blue Jackets,Pittsburgh Penguins,25,18,7,1,1,1
1823,Montreal Canadiens,Minnesota Wild,9,19,2,4,1,1
1824,Chicago Blackhawks,Colorado Avalanche,21,13,1,2,1,1
1825,Carolina Hurricanes,Boston Bruins,10,7,3,2,1,1
1826,Columbus Blue Jackets,Montreal Canadiens,25,9,2,1,1,1
1827,Calgary Flames,Vancouver Canucks,12,0,4,1,1,1
1828,Pittsburgh Penguins,New Jersey Devils,18,24,4,1,1,1
1829,Dallas Stars,Los Angeles Kings,8,26,3,2,1,1
1830,Washington Capitals,Tampa Bay Lightning,2,16,4,0,1,1
